ClaimID,PolicyNo,ClaimDate,ClaimType,ClaimAmount,Status,SettlementDate
CLM00137,POL29565,03/08/2026,Accident,250000,Under Review,
CLM00138,POL05358,27/11/2023,Collision,75000,Pending,
CLM00139,POL27157,24/04/2022,Burglary,45000,Rejected,
CLM00140,POL17818,01/05/2024,Collision,250000,Pending,
CLM00141,POL28707,20/10/2024,Fire,250000,Approved,05/12/2024
CLM00142,POL03742,24/11/2021,Collision,120000,Rejected,
CLM00143,POL20877,06/06/2022,Accident,250000,Under Review,
CLM00144,POL22023,11/09/2022,Collision,75000,Under Review,
CLM00145,POL16373,04/09/2021,Collision,,Rejected,
CLM00146,POL09732,16/06/2020,Theft,90000,Under Review,
CLM00147,POL23046,21/12/2021,Fire,500000,Pending,
CLM00148,POL27825,24/05/2020,Burglary,,Under Review,
CLM00149,POL21052,02/01/2021,Theft,120000,Rejected,
CLM00150,POL02209,19/09/2024,Theft,500000,Approved,27/09/2024
CLM00151,POL10774,24/11/2023,Accident,500000,Approved,04/02/2024
CLM00152,POL07423,16/06/2023,Accident,120000,Pending,
CLM00153,POL11592,30/03/2025,Fire,75000,Pending,
CLM00154,POL14622,17/05/2022,Fire,120000,Approved,25/08/2022
CLM00155,POL23651,04/08/2024,Illness,90000,Pending,
CLM00156,POL14545,24/01/2027,Fire,500000,Pending,
CLM00157,POL08188,08/06/2022,Flood,,Rejected,
CLM00158,POL23663,11/11/2023,Flood,45000,Approved,23/11/2023
CLM00159,POL03004,19/09/2023,Theft,250000,Approved,19/12/2023
CLM00160,POL10084,21/08/2021,Illness,120000,Pending,
CLM00161,POL18483,11/11/2022,Collision,90000,Under Review,
CLM00162,POL01449,22/07/2020,Burglary,250000,Rejected,
CLM00163,POL06135,23/02/2023,Theft,90000,Pending,
CLM00164,POL09258,02/12/2026,Collision,75000,Pending,
CLM00165,POL27718,07/10/2020,Flood,75000,Approved,20/12/2020
CLM00166,POL09868,17/10/2025,Burglary,500000,Pending,
CLM00167,POL04473,27/06/2021,Collision,90000,Pending,
CLM00168,POL24163,02/04/2022,Burglary,500000,Under Review,
CLM00169,POL04587,25/04/2021,Burglary,90000,Pending,
CLM00170,POL12137,27/05/2024,Accident,500000,Pending,
CLM00171,POL07926,13/05/2022,Burglary,90000,Pending,
CLM00172,POL09314,20/05/2025,Illness,500000,Under Review,
CLM00173,POL09536,25/01/2024,Accident,250000,Rejected,
CLM00174,POL15340,21/07/2024,Accident,90000,Under Review,
CLM00175,POL21049,22/12/2023,Burglary,90000,Approved,30/12/2023
CLM00176,POL07663,28/12/2022,Accident,120000,Under Review,
CLM00177,POL17293,28/03/2022,Fire,45000,Pending,
CLM00178,POL02766,18/07/2026,Fire,45000,Under Review,
CLM00179,POL19506,07/07/2020,Theft,45000,Pending,
CLM00180,POL10458,21/08/2023,Illness,120000,Approved,19/10/2023
CLM00181,POL29806,30/05/2021,Fire,120000,Pending,
CLM00182,POL12914,14/11/2022,Illness,500000,Pending,
CLM00183,POL24084,18/12/2025,Flood,45000,Approved,07/01/2026
CLM00184,POL04216,07/06/2026,Flood,250000,Pending,
CLM00185,POL19872,17/10/2021,Theft,500000,Under Review,
CLM00186,POL29260,31/12/2023,Accident,120000,Rejected,
CLM00187,POL02441,12/01/2022,Accident,120000,Approved,10/04/2022
CLM00188,POL24611,14/11/2025,Accident,75000,Approved,01/12/2025
CLM00189,POL07803,03/12/2025,Theft,120000,Approved,17/12/2025
CLM00190,POL04479,27/01/2021,Theft,120000,Rejected,
CLM00191,POL05901,17/12/2025,Flood,75000,Rejected,
CLM00192,POL12660,25/12/2023,Burglary,90000,Under Review,
CLM00193,POL07594,02/04/2021,Fire,90000,Approved,23/06/2021
CLM00194,POL15875,12/07/2026,Theft,45000,Under Review,
CLM00195,POL00684,30/03/2027,Fire,90000,Rejected,
CLM00196,POL26027,23/12/2024,Fire,75000,Approved,25/01/2025
CLM00197,POL17667,02/10/2021,Collision,120000,Pending,
CLM00198,POL10553,06/01/2024,Collision,120000,Approved,06/04/2024
CLM00199,POL29172,14/03/2024,Flood,45000,Pending,
CLM00200,POL26108,05/11/2023,Collision,75000,Rejected,
CLM00201,POL16061,02/12/2020,Flood,500000,Approved,25/03/2021
CLM00202,POL02001,03/05/2025,Flood,,Approved,22/05/2025
CLM00203,POL15517,04/10/2024,Fire,45000,Under Review,
CLM00204,POL00481,08/04/2024,Burglary,500000,Rejected,
CLM00205,POL13406,05/06/2021,Flood,90000,Pending,
CLM00206,POL01827,01/11/2021,Theft,,Rejected,
CLM00207,POL08243,27/09/2022,Accident,90000,Under Review,
CLM00208,POL17594,31/10/2020,Theft,500000,Under Review,
CLM00209,POL22813,28/11/2023,Illness,45000,Pending,
CLM00210,POL11204,24/01/2023,Fire,45000,Rejected,
CLM00211,POL13506,16/06/2025,Illness,90000,Rejected,
CLM00212,POL10129,14/10/2020,Accident,120000,Rejected,
CLM00213,POL26241,31/12/2024,Illness,75000,Under Review,
CLM00214,POL16520,24/08/2023,Fire,90000,Pending,
CLM00215,POL25507,31/05/2025,Flood,45000,Pending,
CLM00216,POL07494,13/05/2024,Burglary,45000,Rejected,
CLM00217,POL19418,25/07/2023,Fire,45000,Under Review,
CLM00218,POL18089,25/05/2024,Illness,90000,Rejected,
CLM00219,POL25797,17/08/2021,Collision,45000,Under Review,
CLM00220,POL05931,07/08/2024,Illness,500000,Rejected,
CLM00221,POL04056,14/07/2021,Theft,120000,Rejected,
CLM00222,POL05288,02/11/2022,Collision,75000,Rejected,
CLM00223,POL23974,27/10/2024,Theft,45000,Pending,
CLM00224,POL18300,14/08/2023,Burglary,45000,Rejected,
CLM00225,POL07456,28/03/2020,Illness,500000,Approved,12/05/2020
CLM00226,POL08089,03/01/2023,Illness,250000,Rejected,
CLM00227,POL11434,01/01/2026,Accident,500000,Under Review,
CLM00228,POL17270,22/07/2024,Accident,250000,Pending,
CLM00229,POL02448,10/02/2026,Collision,250000,Rejected,
CLM00230,POL06310,25/08/2025,Theft,45000,Rejected,
CLM00231,POL28727,12/07/2024,Burglary,90000,Pending,
CLM00232,POL21905,19/09/2023,Theft,45000,Approved,07/11/2023
CLM00233,POL24261,28/10/2020,Collision,250000,Approved,04/12/2020
CLM00234,POL11021,28/12/2021,Collision,45000,Rejected,
CLM00235,POL19584,26/03/2022,Collision,45000,Rejected,
CLM00236,POL08743,03/01/2022,Flood,,Under Review,
CLM00237,POL29123,02/08/2021,Flood,75000,Under Review,
CLM00238,POL25043,09/03/2026,Theft,75000,Pending,
CLM00239,POL04550,25/02/2023,Flood,120000,Under Review,
CLM00240,POL12032,03/09/2022,Collision,500000,Rejected,
CLM00241,POL15949,29/04/2026,Accident,90000,Pending,
CLM00242,POL27289,10/05/2020,Burglary,45000,Pending,
CLM00243,POL13998,05/08/2023,Fire,90000,Rejected,
CLM00244,POL23658,17/06/2021,Flood,45000,Under Review,
CLM00245,POL03333,23/08/2022,Collision,75000,Under Review,
CLM00246,POL29164,13/02/2025,Accident,45000,Rejected,
CLM00247,POL29337,02/08/2025,Flood,75000,Approved,21/08/2025
CLM00248,POL10066,02/09/2023,Burglary,45000,Approved,25/11/2023
CLM00249,POL12870,14/09/2026,Theft,75000,Rejected,
CLM00250,POL26289,12/03/2023,Accident,75000,Approved,07/05/2023
CLM00251,POL26589,29/01/2022,Flood,120000,Pending,
CLM00252,POL19416,09/08/2020,Collision,120000,Rejected,
CLM00253,POL18828,01/02/2021,Burglary,75000,Rejected,
CLM00254,POL22255,03/06/2024,Flood,75000,Rejected,
CLM00255,POL03791,03/11/2025,Flood,500000,Pending,
CLM00256,POL14471,05/04/2021,Accident,90000,Rejected,
CLM00257,POL05200,12/10/2021,Fire,90000,Under Review,
CLM00258,POL27589,15/09/2023,Theft,500000,Rejected,
CLM00259,POL17090,26/10/2020,Accident,45000,Approved,07/02/2021
CLM00260,POL08845,29/03/2025,Flood,75000,Under Review,
CLM00261,POL18008,20/06/2021,Flood,120000,Approved,22/08/2021
CLM00262,POL04514,10/12/2023,Theft,90000,Pending,
CLM00263,POL04302,09/05/2023,Collision,250000,Under Review,
CLM00264,POL24478,08/04/2024,Accident,250000,Approved,20/06/2024
CLM00265,POL23836,22/02/2021,Burglary,250000,Approved,16/05/2021
CLM00266,POL20032,08/05/2024,Burglary,45000,Rejected,
CLM00267,POL22523,18/07/2021,Accident,250000,Under Review,
CLM00268,POL13892,17/12/2022,Collision,90000,Under Review,
CLM00269,POL28579,01/06/2024,Flood,45000,Pending,
CLM00270,POL00325,29/05/2022,Accident,500000,Approved,19/06/2022
CLM00271,POL29207,22/04/2023,Illness,120000,Rejected,
CLM00272,POL23125,04/03/2025,Accident,75000,Rejected,
CLM00273,POL17033,06/02/2025,Flood,,Rejected,
CLM00274,POL13548,31/01/2024,Collision,45000,Rejected,
CLM00275,POL21965,29/12/2022,Collision,250000,Pending,
CLM00276,POL09364,19/05/2021,Fire,250000,Under Review,
CLM00277,POL23238,17/04/2020,Flood,90000,Rejected,
CLM00278,POL00906,27/04/2024,Accident,,Approved,02/08/2024
CLM00279,POL01350,20/12/2024,Collision,,Under Review,
CLM00280,POL02873,19/05/2022,Collision,,Under Review,
CLM00281,POL07367,16/09/2025,Fire,120000,Rejected,
CLM00282,POL07112,01/10/2022,Flood,250000,Pending,
CLM00283,POL20517,30/09/2020,Illness,75000,Pending,
CLM00284,POL21343,25/05/2024,Accident,90000,Rejected,
CLM00285,POL03507,12/12/2022,Fire,250000,Approved,25/02/2023
CLM00286,POL18561,11/09/2023,Flood,90000,Pending,
CLM00287,POL09885,11/11/2022,Illness,250000,Pending,
CLM00288,POL19545,05/12/2026,Flood,90000,Under Review,
CLM00289,POL18650,11/01/2021,Fire,250000,Under Review,
CLM00290,POL01401,07/10/2025,Fire,250000,Under Review,
CLM00291,POL03660,25/12/2024,Burglary,250000,Rejected,
CLM00292,POL03960,14/05/2020,Theft,45000,Pending,
CLM00293,POL16064,03/06/2023,Accident,,Approved,06/09/2023
CLM00294,POL15793,24/09/2020,Flood,,Rejected,
CLM00295,POL05410,18/06/2022,Burglary,90000,Pending,
CLM00296,POL13514,19/06/2025,Burglary,120000,Under Review,
CLM00297,POL07597,25/04/2020,Accident,120000,Approved,29/05/2020
CLM00298,POL15778,04/11/2023,Theft,500000,Pending,
CLM00299,POL03248,05/10/2023,Fire,500000,Approved,06/12/2023
CLM00300,POL06258,30/07/2025,Fire,500000,Approved,20/08/2025
CLM00301,POL22736,30/06/2022,Collision,500000,Approved,05/10/2022
CLM00302,POL09342,11/08/2023,Illness,90000,Under Review,
CLM00303,POL25361,06/05/2025,Illness,45000,Rejected,
CLM00304,POL07389,08/03/2022,Burglary,500000,Approved,03/04/2022
CLM00305,POL01357,15/10/2023,Theft,500000,Approved,29/01/2024
CLM00306,POL16930,09/03/2021,Accident,45000,Rejected,
CLM00307,POL02566,08/06/2024,Theft,250000,Under Review,
CLM00308,POL27662,20/05/2021,Collision,500000,Approved,02/08/2021
CLM00309,POL15067,05/11/2020,Burglary,250000,Approved,16/12/2020
CLM00310,POL07975,17/10/2021,Flood,75000,Under Review,
CLM00311,POL28610,02/08/2020,Fire,500000,Approved,01/09/2020
CLM00312,POL09934,19/01/2022,Collision,75000,Approved,20/04/2022
CLM00313,POL21136,09/10/2024,Collision,250000,Under Review,
CLM00314,POL04796,04/11/2023,Illness,500000,Approved,03/01/2024
CLM00315,POL18032,28/03/2026,Flood,90000,Pending,
CLM00316,POL24979,21/11/2021,Flood,,Under Review,
CLM00317,POL05800,16/03/2026,Burglary,75000,Pending,
CLM00318,POL20444,24/04/2021,Collision,120000,Rejected,
CLM00319,POL11208,08/09/2022,Theft,500000,Rejected,
CLM00320,POL08706,13/03/2022,Burglary,45000,Rejected,
CLM00321,POL26236,07/10/2020,Flood,90000,Under Review,
CLM00322,POL20855,01/10/2024,Flood,250000,Under Review,
CLM00323,POL23976,26/09/2024,Illness,,Approved,08/01/2025
CLM00324,POL03412,05/07/2021,Fire,250000,Under Review,
CLM00325,POL26408,16/06/2021,Fire,500000,Under Review,
CLM00326,POL18886,11/05/2024,Fire,90000,Pending,
CLM00327,POL23776,14/01/2023,Collision,250000,Rejected,
CLM00328,POL22110,03/06/2025,Flood,250000,Approved,31/08/2025
CLM00329,POL19311,08/03/2021,Theft,500000,Rejected,
CLM00330,POL16787,16/03/2025,Fire,90000,Pending,
CLM00331,POL18997,27/02/2022,Theft,45000,Rejected,
CLM00332,POL10190,16/06/2023,Flood,75000,Pending,
CLM00333,POL20644,14/10/2022,Theft,120000,Pending,
CLM00334,POL02307,25/07/2023,Accident,500000,Approved,21/10/2023
CLM00335,POL25791,11/01/2025,Illness,75000,Pending,
CLM00336,POL18228,18/03/2022,Illness,45000,Pending,
CLM00337,POL13919,23/04/2022,Illness,45000,Pending,
CLM00338,POL15069,05/12/2024,Accident,500000,Approved,06/02/2025
CLM00339,POL12410,17/04/2022,Illness,250000,Under Review,
CLM00340,POL06294,31/10/2022,Illness,120000,Rejected,
CLM00341,POL18403,04/04/2025,Fire,45000,Approved,08/07/2025
CLM00342,POL06210,16/06/2024,Burglary,75000,Approved,07/10/2024
CLM00343,POL21084,28/10/2022,Illness,120000,Pending,
CLM00344,POL26935,10/09/2022,Illness,120000,Rejected,
CLM00345,POL27882,10/03/2022,Fire,120000,Under Review,
CLM00346,POL04614,30/08/2026,Flood,120000,Rejected,
CLM00347,POL11815,11/09/2020,Illness,120000,Approved,30/10/2020
CLM00348,POL09524,24/09/2025,Fire,45000,Rejected,
CLM00349,POL02439,31/05/2022,Illness,45000,Under Review,
CLM00350,POL25685,20/01/2025,Flood,75000,Rejected,
CLM00351,POL24842,12/04/2024,Flood,120000,Rejected,
CLM00352,POL29986,17/12/2021,Flood,120000,Under Review,
CLM00353,POL29867,21/09/2025,Burglary,90000,Pending,
CLM00354,POL11521,28/10/2024,Fire,,Pending,
CLM00355,POL16427,17/09/2024,Fire,90000,Rejected,
CLM00356,POL10533,15/10/2025,Collision,250000,Approved,09/12/2025
CLM00357,POL19029,19/01/2021,Illness,120000,Rejected,
CLM00358,POL27543,02/09/2024,Fire,250000,Pending,
CLM00359,POL28962,25/04/2020,Collision,500000,Under Review,
CLM00360,POL04300,21/11/2026,Flood,45000,Approved,13/03/2027
CLM00361,POL20289,31/07/2025,Accident,90000,Pending,
CLM00362,POL10625,09/08/2023,Flood,500000,Rejected,
CLM00363,POL09417,03/04/2024,Theft,45000,Pending,
CLM00364,POL00976,23/02/2023,Accident,90000,Pending,
CLM00365,POL08066,08/05/2022,Flood,500000,Pending,
CLM00366,POL13609,03/05/2026,Fire,500000,Approved,17/07/2026
CLM00367,POL21471,20/09/2021,Theft,,Rejected,
CLM00368,POL03850,16/01/2024,Flood,90000,Rejected,
CLM00369,POL22676,09/10/2024,Burglary,250000,Approved,03/01/2025
CLM00370,POL09143,16/04/2024,Flood,75000,Approved,18/05/2024
CLM00371,POL18333,07/02/2025,Illness,120000,Pending,
CLM00372,POL03488,09/03/2024,Theft,500000,Pending,
CLM00373,POL29226,12/02/2025,Illness,45000,Approved,25/04/2025
CLM00374,POL06276,08/03/2022,Burglary,250000,Rejected,
CLM00375,POL07296,15/07/2025,Accident,75000,Rejected,
CLM00376,POL04638,28/10/2025,Burglary,75000,Approved,05/11/2025
CLM00377,POL13202,08/07/2021,Collision,90000,Approved,04/11/2021
CLM00378,POL10164,30/01/2021,Accident,120000,Pending,
CLM00379,POL06739,22/04/2021,Collision,120000,Under Review,
CLM00380,POL06900,02/11/2024,Theft,250000,Rejected,
CLM00381,POL01967,05/05/2022,Burglary,,Pending,
CLM00382,POL07359,12/05/2021,Illness,500000,Under Review,
CLM00383,POL23885,13/06/2025,Theft,120000,Under Review,
CLM00384,POL27317,19/07/2022,Theft,500000,Under Review,
CLM00385,POL29095,10/01/2023,Flood,90000,Under Review,
CLM00386,POL12567,02/05/2021,Burglary,90000,Approved,13/05/2021
CLM00387,POL04460,05/09/2027,Flood,500000,Pending,
CLM00388,POL29159,03/05/2022,Theft,250000,Pending,
CLM00389,POL27878,05/11/2023,Collision,500000,Under Review,
CLM00390,POL25982,16/10/2021,Accident,90000,Rejected,
CLM00391,POL14460,24/12/2023,Collision,250000,Approved,16/02/2024
CLM00392,POL00529,13/01/2022,Fire,250000,Approved,07/04/2022
CLM00393,POL25386,09/04/2020,Illness,,Approved,24/06/2020
CLM00394,POL10427,02/12/2021,Fire,75000,Under Review,
CLM00395,POL05233,22/05/2023,Fire,120000,Under Review,
CLM00396,POL22042,22/02/2022,Burglary,120000,Pending,
CLM00397,POL26307,29/05/2021,Fire,,Approved,28/08/2021
CLM00398,POL21004,24/06/2024,Flood,90000,Approved,14/10/2024
CLM00399,POL05486,31/12/2024,Theft,75000,Approved,12/02/2025
CLM00400,POL01854,28/04/2025,Collision,120000,Under Review,
CLM00401,POL07861,09/12/2021,Collision,45000,Pending,
CLM00402,POL02781,05/05/2024,Collision,90000,Rejected,
CLM00403,POL25838,14/06/2024,Theft,75000,Pending,
CLM00404,POL04626,26/04/2021,Accident,75000,Pending,
CLM00405,POL29679,20/03/2023,Flood,45000,Approved,04/07/2023
CLM00406,POL27299,20/11/2026,Theft,250000,Approved,05/01/2027
CLM00407,POL01713,28/02/2027,Accident,500000,Approved,27/04/2027
CLM00408,POL08209,15/03/2027,Fire,250000,Rejected,
CLM00409,POL20194,08/09/2025,Accident,250000,Under Review,
CLM00410,POL23240,04/04/2023,Illness,500000,Under Review,
CLM00411,POL12787,11/10/2022,Fire,120000,Approved,14/11/2022
CLM00412,POL09380,14/10/2023,Theft,500000,Approved,29/11/2023
CLM00413,POL02412,15/05/2023,Burglary,120000,Under Review,
CLM00414,POL11542,11/08/2022,Collision,250000,Approved,25/08/2022
CLM00415,POL21137,24/07/2024,Illness,90000,Pending,
CLM00416,POL07813,25/06/2023,Theft,250000,Under Review,
CLM00417,POL26346,03/07/2023,Collision,500000,Under Review,
CLM00418,POL28931,02/03/2024,Collision,75000,Approved,29/03/2024
CLM00419,POL26860,03/12/2022,Theft,120000,Pending,
CLM00420,POL18157,28/12/2023,Flood,90000,Approved,16/03/2024
CLM00421,POL08449,29/07/2023,Flood,250000,Rejected,
CLM00422,POL24394,14/06/2022,Fire,45000,Approved,02/08/2022
CLM00423,POL25633,10/07/2023,Accident,75000,Rejected,
CLM00424,POL20418,13/01/2022,Accident,45000,Rejected,
CLM00425,POL01028,01/12/2022,Flood,90000,Pending,
CLM00426,POL03485,14/07/2024,Fire,75000,Rejected,
CLM00427,POL24476,25/07/2027,Collision,75000,Under Review,
CLM00428,POL26146,04/12/2025,Accident,45000,Approved,08/03/2026
CLM00429,POL15364,08/03/2022,Theft,250000,Under Review,
CLM00430,POL28313,08/07/2021,Fire,90000,Approved,26/07/2021
CLM00431,POL29493,01/04/2021,Accident,500000,Under Review,
CLM00432,POL24911,06/07/2021,Flood,250000,Rejected,
CLM00433,POL03963,21/09/2026,Collision,45000,Approved,10/01/2027
CLM00434,POL05603,27/08/2021,Fire,90000,Rejected,
CLM00435,POL07730,03/02/2026,Accident,90000,Pending,
