PolicyNo,CustomerID,ProductID,AgentID,StartDate,EndDate,Status
POL00054,CUST1781,PROD008,AGT098,2022-07-07,2024-06-26,Active
POL00055,CUST2055,PROD017,AGT079,2021-07-22,2022-07-17,Active
POL00056,CUST1236,PROD007,AGT115,2024-08-16,2025-08-11,Active
POL00057,CUST0456,PROD020,AGT022,2024-12-31,2025-12-26,Expired
POL00058,CUST2858,PROD012,AGT025,2021-12-02,2022-11-27,Expired
POL00059,CUST0901,PROD005,AGT084,2024-03-14,2025-03-09,Expired
POL00060,CUST2815,PROD009,AGT061,2023-10-10,2025-09-29,Expired
POL00061,CUST1123,PROD004,AGT011,2023-02-17,2024-02-12,Expired
POL00062,CUST1368,PROD015,AGT033,2021-04-26,2022-04-21,Active
POL00063,CUST1758,PROD017,AGT025,2025-03-25,2026-03-20,Expired
POL00064,CUST1031,PROD010,AGT119,2024-06-07,2025-06-02,Expired
POL00065,CUST2114,PROD001,AGT023,2023-10-16,2024-10-10,Active
POL00066,CUST2718,PROD011,AGT112,2022-11-12,2023-11-07,Expired
POL00067,CUST1996,PROD007,AGT092,2023-12-11,2025-11-30,Active
POL00068,CUST1245,PROD018,AGT092,2020-12-21,2021-12-16,Active
POL00069,CUST0656,PROD019,AGT022,2022-10-19,2024-10-08,Expired
POL00070,CUST1173,PROD020,AGT118,2022-08-31,2023-08-26,Active
POL00071,CUST1246,PROD017,AGT073,2022-04-27,2023-04-22,Active
POL00072,CUST1074,PROD001,AGT057,2024-12-01,2026-11-21,Active
POL00073,CUST0228,PROD016,AGT032,2021-10-12,2023-10-02,Expired
POL00074,CUST2146,PROD017,AGT085,2022-10-06,2023-10-01,Expired
POL00075,CUST1413,PROD014,AGT105,2025-04-09,2026-04-04,Expired
POL00076,CUST0127,PROD014,AGT029,2022-04-03,2022-09-30,
POL00077,CUST2871,PROD020,AGT025,2021-05-28,2023-05-18,Expired
POL00078,CUST1812,PROD008,AGT108,2024-08-03,2025-07-29,Active
POL00079,CUST1129,PROD007,AGT019,2024-01-14,2026-01-03,Cancelled
POL00080,CUST0919,PROD004,AGT033,2021-10-13,2022-10-08,Active
POL00081,CUST1888,PROD010,AGT017,2020-08-25,2022-08-15,Expired
POL00082,CUST0410,PROD009,AGT108,2024-09-24,2026-09-14,Active
POL00083,CUST0017,PROD011,AGT094,2025-06-30,2026-06-25,Active
POL00084,CUST1596,PROD012,AGT018,2023-12-09,2024-12-03,Active
POL00085,CUST0288,PROD019,AGT023,2023-05-25,2025-05-14,Expired
POL00086,CUST0720,PROD015,AGT113,2021-10-30,2024-10-14,Expired
POL00087,CUST1921,PROD013,AGT075,2020-12-08,2021-12-03,Active
POL00088,CUST0052,PROD006,AGT072,2023-04-18,2026-04-02,Active
POL00089,CUST2229,PROD019,AGT110,2020-12-20,2022-12-10,Active
POL00090,CUST0946,PROD018,AGT103,2024-10-25,2025-10-20,Cancelled
POL00091,CUST0056,PROD015,AGT115,2025-01-24,2025-07-23,Active
POL00092,CUST0081,PROD004,AGT037,2021-02-04,2022-01-30,Active
POL00093,CUST2433,PROD018,AGT035,2024-09-05,2026-08-26,Active
POL00094,CUST1956,PROD001,AGT116,2023-06-29,2024-06-23,Active
POL00095,CUST0401,PROD008,AGT076,2022-07-05,2024-06-24,Expired
POL00096,CUST0912,PROD005,AGT082,2021-10-26,2022-10-21,Expired
POL00097,CUST0561,PROD008,AGT087,2022-01-15,2023-01-10,Active
POL00098,CUST2740,PROD017,AGT061,2023-09-12,2024-09-06,Expired
POL00099,CUST0943,PROD018,AGT019,2025-03-25,2026-03-20,Active
POL00100,CUST2599,PROD017,AGT110,2022-03-02,2023-02-25,Expired
POL00101,CUST1121,PROD016,AGT069,2020-10-08,2023-09-23,Active
POL00102,CUST1812,PROD005,AGT085,2022-12-10,2023-12-05,Active
POL00103,CUST1044,PROD009,AGT114,2020-10-12,2021-04-10,Expired
POL00104,CUST1797,PROD002,AGT052,2024-08-31,2027-08-16,Expired
POL00105,CUST0258,PROD002,AGT095,2021-05-15,2021-11-11,Active
POL00106,CUST1899,PROD017,AGT076,2020-05-06,2022-04-26,Active
POL00107,CUST1430,PROD010,AGT004,2021-04-02,2022-03-28,Active
POL00108,CUST2157,PROD015,AGT049,2020-01-03,2021-12-23,Cancelled
POL00109,CUST1071,PROD015,AGT065,2025-04-19,2026-04-14,Active
POL00110,CUST0312,PROD016,AGT081,2020-05-18,2020-11-14,Active
POL00111,CUST0182,PROD013,AGT054,2020-07-14,2021-07-09,Active
POL00112,CUST0893,PROD015,AGT043,2021-05-07,2023-04-27,Active
POL00113,CUST2390,PROD014,AGT068,2022-08-09,2023-08-04,Active
POL00114,CUST0364,PROD006,AGT107,2023-02-20,2025-02-09,Active
POL00115,CUST1007,PROD014,AGT011,2020-05-14,2021-05-09,Expired
POL00116,CUST2912,PROD001,AGT074,2021-12-20,2022-12-15,Active
POL00117,CUST2537,PROD007,AGT009,2023-04-01,2025-03-21,Active
POL00118,CUST1446,PROD005,AGT014,2020-12-05,2023-11-20,Active
POL00119,CUST0057,PROD017,AGT105,2022-06-13,2022-12-10,Active
POL00120,CUST0803,PROD008,AGT053,2021-10-04,2024-09-18,Active
POL00121,CUST1091,PROD004,AGT035,2024-06-18,2024-12-15,Expired
POL00122,CUST1230,PROD017,AGT079,2024-10-02,2025-09-27,Cancelled
POL00123,CUST2466,PROD017,AGT014,2022-12-02,2023-05-31,Active
POL00124,CUST2839,PROD017,AGT025,2022-12-06,2023-12-01,
POL00125,CUST1636,PROD007,AGT048,2023-11-04,2024-10-29,Expired
POL00126,CUST0046,PROD005,AGT101,2025-04-09,2026-04-04,Active
POL00127,CUST1449,PROD017,AGT004,2025-04-08,2026-04-03,Active
POL00128,CUST0573,PROD001,AGT104,2024-04-25,2025-04-20,Active
POL00129,CUST2229,PROD020,AGT070,2020-01-04,2020-12-29,Active
POL00130,CUST0801,PROD003,AGT034,2022-08-05,2023-07-31,Expired
POL00131,CUST1004,PROD016,AGT058,2020-08-04,2021-01-31,Active
POL00132,CUST2201,PROD020,AGT111,2021-02-01,2023-01-22,Cancelled
POL00133,CUST0813,PROD016,AGT103,2022-06-16,2023-06-11,Active
POL00134,CUST0326,PROD007,AGT096,2025-06-10,2026-06-05,Expired
POL00135,CUST0223,PROD019,AGT028,2021-01-12,2023-01-02,Active
POL00136,CUST0304,PROD005,AGT084,2022-06-30,2023-06-25,Active
POL00137,CUST1522,PROD013,AGT069,2020-12-20,2021-12-15,Active
POL00138,CUST2501,PROD007,AGT073,2021-09-09,2022-03-08,Expired
POL00139,CUST2526,PROD001,AGT036,2021-05-29,2024-05-13,Active
POL00140,CUST2517,PROD003,AGT092,2021-02-04,2024-01-20,Active
POL00141,CUST1677,PROD002,AGT065,2025-02-25,2028-02-10,Active
POL00142,CUST0499,PROD007,AGT104,2020-03-30,2021-03-25,Active
POL00143,CUST0887,PROD015,AGT019,2022-12-16,2023-06-14,Active
POL00144,CUST2090,PROD016,AGT078,2020-09-21,2021-03-20,Cancelled
POL00145,CUST1332,PROD015,AGT002,2022-08-15,2024-08-04,Expired
POL00146,CUST1209,PROD014,AGT085,2021-09-25,2022-03-24,Active
POL00147,CUST0924,PROD006,AGT044,2024-10-25,2027-10-10,Expired
POL00148,CUST0148,PROD006,AGT082,2023-05-28,2024-05-22,Cancelled
POL00149,CUST0408,PROD005,AGT047,2025-05-28,2025-11-24,Active
POL00150,CUST1679,PROD020,AGT087,2021-04-22,2022-04-17,Expired
POL00151,CUST1869,PROD010,AGT040,2023-08-05,2025-07-25,Expired
POL00152,CUST0153,PROD016,AGT063,2023-04-01,2024-03-26,Active
POL00153,CUST1776,PROD006,AGT096,2022-09-21,2024-09-10,Active
POL00154,CUST2082,PROD009,AGT068,2020-09-19,2021-09-14,Active
POL00155,CUST0041,PROD006,AGT103,2023-09-12,2026-08-27,Active
POL00156,CUST0265,PROD016,AGT097,2020-08-03,2022-07-24,Expired
POL00157,CUST2321,PROD008,AGT023,2024-09-13,2027-08-29,Expired
POL00158,CUST1675,PROD017,AGT050,2021-11-21,2022-11-16,Active
POL00159,CUST1118,PROD014,AGT028,2020-10-21,2021-04-19,Expired
POL00160,CUST0779,PROD003,AGT110,2020-02-04,2022-01-24,Active
POL00161,CUST0231,PROD011,AGT027,2022-11-21,2023-05-20,Active
POL00162,CUST2069,PROD020,AGT081,2020-02-21,2022-02-10,Expired
POL00163,CUST2175,PROD020,AGT013,2022-10-19,2023-10-14,Active
POL00164,CUST2982,PROD013,AGT098,2024-11-30,2026-11-20,Active
POL00165,CUST2201,PROD009,AGT017,2020-09-12,2023-08-28,Active
POL00166,CUST1993,PROD017,AGT099,2024-06-24,2025-06-19,Active
POL00167,CUST1652,PROD020,AGT023,2021-11-23,2022-11-18,Active
POL00168,CUST1082,PROD009,AGT085,2020-04-28,2020-10-25,Expired
POL00169,CUST2717,PROD011,AGT038,2024-06-08,2024-12-05,Active
POL00170,CUST1614,PROD007,AGT082,2020-08-10,2022-07-31,Active
POL00171,CUST1794,PROD020,AGT086,2023-05-10,2024-05-04,Expired
POL00172,CUST1755,PROD012,AGT091,2020-11-13,2022-11-03,Active
POL00173,CUST1693,PROD012,AGT005,2020-01-11,2021-01-05,Active
POL00174,CUST0846,PROD008,AGT034,2023-11-22,2026-11-06,Active
POL00175,CUST0125,PROD016,AGT063,2022-09-28,2023-09-23,Cancelled
POL00176,CUST2622,PROD002,AGT005,2022-09-20,2025-09-04,Expired
POL00177,CUST0101,PROD018,AGT032,2021-04-23,2022-04-18,Expired
POL00178,CUST0637,PROD006,AGT035,2021-07-05,2023-06-25,Active
POL00179,CUST2822,PROD006,AGT011,2025-05-03,2026-04-28,Active
POL00180,CUST2704,PROD016,AGT040,2020-05-23,2021-05-18,Active
POL00181,CUST2804,PROD006,AGT039,2024-04-24,2026-04-14,
POL00182,CUST1599,PROD018,AGT002,2024-09-03,2026-08-24,Active
POL00183,CUST2868,PROD007,AGT085,2022-05-25,2024-05-14,Expired
POL00184,CUST0964,PROD007,AGT019,2022-03-25,2024-03-14,Active
POL00185,CUST2409,PROD011,AGT037,2021-10-15,2022-10-10,Active
POL00186,CUST0975,PROD011,AGT061,2021-08-29,2024-08-13,Active
POL00187,CUST2096,PROD020,AGT082,2022-05-13,2022-11-09,Active
POL00188,CUST1089,PROD006,AGT056,2020-12-04,2022-11-24,Active
POL00189,CUST1657,PROD002,AGT070,2021-01-26,2022-01-21,Expired
POL00190,CUST2119,PROD002,AGT106,2024-12-05,2025-11-30,Active
POL00191,CUST0969,PROD001,AGT048,2021-11-09,2023-10-30,Active
POL00192,CUST0432,PROD001,AGT002,2023-06-19,2024-06-13,Active
POL00193,CUST2626,PROD005,AGT117,2022-02-10,2022-08-09,Expired
POL00194,CUST2240,PROD011,AGT035,2020-08-07,2022-07-28,Expired
POL00195,CUST1212,PROD013,AGT114,2022-12-13,2024-12-02,Expired
POL00196,CUST1417,PROD008,AGT096,2021-02-25,2023-02-15,Active
POL00197,CUST1171,PROD007,AGT021,2024-10-11,2027-09-26,Expired
POL00198,CUST0811,PROD010,AGT083,2020-04-18,2022-04-08,Active
POL00199,CUST0228,PROD013,AGT041,2024-02-26,2024-08-24,Active
POL00200,CUST0046,PROD017,AGT098,2021-05-09,2023-04-29,Expired
POL00201,CUST0186,PROD006,AGT083,2021-09-09,2022-03-08,Active
POL00202,CUST1243,PROD002,AGT119,2020-09-14,2021-09-09,Expired
POL00203,CUST0793,PROD020,AGT069,2023-02-12,2024-02-07,Active
POL00204,CUST0190,PROD001,AGT020,2023-09-14,2024-09-08,Active
POL00205,CUST2053,PROD019,AGT012,2024-11-09,2026-10-30,Expired
POL00206,CUST0360,PROD001,AGT019,2021-11-24,2023-11-14,Active
POL00207,CUST2122,PROD016,AGT081,2024-09-29,2025-09-24,Expired
POL00208,CUST0528,PROD006,AGT079,2024-09-07,2026-08-28,Active
POL00209,CUST1978,PROD003,AGT018,2021-01-27,2022-01-22,Active
POL00210,CUST2435,PROD002,AGT011,2025-03-21,2026-03-16,Active
POL00211,CUST0399,PROD013,AGT083,2024-02-26,2025-02-20,Active
POL00212,CUST0933,PROD007,AGT034,2022-11-17,2023-11-12,Active
POL00213,CUST0239,PROD017,AGT005,2025-03-23,2025-09-19,Active
POL00214,CUST0860,PROD017,AGT090,2022-09-17,2024-09-06,Active
POL00215,CUST0685,PROD005,AGT097,2022-01-08,2023-01-03,Cancelled
POL00216,CUST1615,PROD020,AGT095,2022-09-04,2023-03-03,Active
POL00217,CUST2494,PROD018,AGT117,2023-09-12,2026-08-27,Expired
POL00218,CUST1166,PROD007,AGT055,2022-01-06,2023-01-01,Active
POL00219,CUST2835,PROD005,AGT076,2020-10-14,2021-10-09,Active
POL00220,CUST1186,PROD009,AGT024,2020-12-14,2022-12-04,Active
POL00221,CUST2947,PROD005,AGT052,2021-08-04,2022-07-30,
POL00222,CUST1425,PROD010,AGT015,2022-12-29,2023-12-24,Active
POL00223,CUST0585,PROD012,AGT025,2022-07-16,2023-07-11,Active
POL00224,CUST2777,PROD017,AGT064,2020-05-16,2021-05-11,Active
POL00225,CUST2902,PROD008,AGT101,2024-08-09,2026-07-30,Active
POL00226,CUST0347,PROD019,AGT004,2021-09-27,2023-09-17,Active
POL00227,CUST1654,PROD008,AGT051,2021-02-06,2022-02-01,Active
POL00228,CUST2058,PROD002,AGT005,2023-03-24,2024-03-18,Active
POL00229,CUST2618,PROD012,AGT084,2021-03-09,2023-02-27,Expired
POL00230,CUST2346,PROD011,AGT042,2021-07-14,2022-01-10,Active
POL00231,CUST0828,PROD006,AGT080,2020-10-27,2022-10-17,Active
POL00232,CUST1258,PROD001,AGT085,2020-12-30,2021-12-25,Expired
POL00233,CUST2103,PROD017,AGT036,2023-09-29,2024-09-23,Expired
POL00234,CUST2662,PROD014,AGT094,2021-06-20,2022-06-15,Expired
POL00235,CUST2353,PROD007,AGT062,2022-09-17,2023-09-12,Active
POL00236,CUST0844,PROD010,AGT060,2024-02-16,2024-08-14,Active
POL00237,CUST1854,PROD008,AGT041,2025-05-28,2027-05-18,Active
POL00238,CUST2667,PROD004,AGT066,2025-05-06,2027-04-26,Active
POL00239,CUST1247,PROD005,AGT053,2024-05-15,2024-11-11,Active
POL00240,CUST0645,PROD010,AGT111,2020-10-23,2021-10-18,Active
POL00241,CUST2399,PROD009,AGT034,2020-01-03,2020-12-28,Active
POL00242,CUST2470,PROD018,AGT054,2023-11-25,2025-11-14,Active
POL00243,CUST2081,PROD015,AGT093,2022-02-02,2023-01-28,Cancelled
POL00244,CUST0710,PROD019,AGT053,2020-05-15,2021-05-10,Active
POL00245,CUST2328,PROD003,AGT034,2022-03-28,2025-03-12,Expired
POL00246,CUST1163,PROD008,AGT085,2023-03-17,2023-09-13,
POL00247,CUST0692,PROD017,AGT090,2022-05-10,2023-05-05,Cancelled
POL00248,CUST2717,PROD015,AGT009,2021-11-15,2022-11-10,Active
POL00249,CUST0654,PROD013,AGT011,2025-02-28,2026-02-23,Expired
POL00250,CUST0552,PROD006,AGT025,2020-05-04,2021-04-29,Active
POL00251,CUST1530,PROD019,AGT092,2023-09-30,2025-09-19,Active
POL00252,CUST2109,PROD013,AGT039,2025-06-11,2026-06-06,Active
POL00253,CUST0057,PROD013,AGT032,2022-07-03,2023-06-28,Expired
POL00254,CUST1142,PROD016,AGT026,2022-09-17,2025-09-01,Active
POL00255,CUST1548,PROD018,AGT116,2023-05-27,2025-05-16,Expired
POL00256,CUST0544,PROD020,AGT102,2024-09-10,2026-08-31,Expired
POL00257,CUST1264,PROD007,AGT029,2022-03-30,2025-03-14,Active
POL00258,CUST2438,PROD007,AGT077,2022-09-13,2025-08-28,Expired
POL00259,CUST1760,PROD014,AGT079,2021-07-23,2022-07-18,Expired
POL00260,CUST0638,PROD015,AGT106,2025-05-31,2026-05-26,Active
POL00261,CUST0869,PROD001,AGT034,2021-07-26,2023-07-16,Expired
POL00262,CUST2559,PROD009,AGT074,2022-02-14,2024-02-04,Expired
POL00263,CUST2032,PROD003,AGT081,2022-12-18,2023-06-16,Expired
POL00264,CUST1653,PROD011,AGT048,2021-06-03,2024-05-18,Expired
POL00265,CUST2109,PROD001,AGT028,2025-04-12,2025-10-09,Active
POL00266,CUST0903,PROD004,AGT094,2023-03-23,2026-03-07,Expired
POL00267,CUST2254,PROD006,AGT043,2022-07-15,2024-07-04,Active
POL00268,CUST0285,PROD008,AGT102,2024-07-23,2025-07-18,Active
POL00269,CUST1423,PROD006,AGT047,2024-09-21,2025-09-16,Expired
POL00270,CUST2649,PROD015,AGT068,2024-09-24,2027-09-09,Active
POL00271,CUST0717,PROD007,AGT006,2024-08-06,2027-07-22,Expired
POL00272,CUST1137,PROD020,AGT087,2020-11-16,2021-05-15,
POL00273,CUST1897,PROD011,AGT036,2020-08-02,2022-07-23,Expired
POL00274,CUST2454,PROD016,AGT054,2021-11-11,2022-11-06,Expired
POL00275,CUST0015,PROD012,AGT032,2024-09-30,2026-09-20,Expired
POL00276,CUST2759,PROD005,AGT096,2020-04-17,2022-04-07,Active
POL00277,CUST1189,PROD003,AGT106,2023-01-24,2025-01-13,Expired
POL00278,CUST0876,PROD010,AGT080,2023-10-07,2024-10-01,Expired
POL00279,CUST1475,PROD002,AGT036,2024-12-18,2025-12-13,Active
POL00280,CUST0912,PROD011,AGT097,2022-04-13,2023-04-08,Active
POL00281,CUST2729,PROD008,AGT111,2021-10-13,2024-09-27,Expired
POL00282,CUST1359,PROD002,AGT115,2023-07-22,2025-07-11,Expired
POL00283,CUST1531,PROD008,AGT035,2020-05-05,2020-11-01,Expired
POL00284,CUST0312,PROD012,AGT103,2023-10-30,2024-10-24,Expired
POL00285,CUST2337,PROD015,AGT117,2021-09-05,2022-03-04,Active
POL00286,CUST1587,PROD005,AGT119,2023-08-25,2025-08-14,Expired
POL00287,CUST1693,PROD014,AGT107,2021-12-14,2024-11-28,Active
POL00288,CUST1486,PROD014,AGT006,2023-11-25,2024-11-19,Active
POL00289,CUST1446,PROD012,AGT065,2020-09-01,2021-02-28,Expired
POL00290,CUST1060,PROD014,AGT074,2023-09-07,2024-09-01,Expired
POL00291,CUST2866,PROD018,AGT093,2020-09-22,2021-09-17,Expired
POL00292,CUST2221,PROD008,AGT059,2020-02-28,2022-02-17,Active
POL00293,CUST0973,PROD006,AGT098,2020-10-28,2021-04-26,Expired
POL00294,CUST0513,PROD018,AGT074,2020-11-15,2021-11-10,Active
POL00295,CUST0346,PROD002,AGT029,2022-11-22,2025-11-06,Expired
POL00296,CUST2217,PROD001,AGT095,2024-01-26,2026-01-15,Expired
POL00297,CUST2240,PROD007,AGT090,2021-08-05,2022-07-31,Active
POL00298,CUST1857,PROD008,AGT091,2020-07-27,2021-07-22,Active
POL00299,CUST1528,PROD009,AGT031,2020-03-05,2022-02-23,Active
POL00300,CUST0728,PROD016,AGT036,2022-03-31,2024-03-20,Expired
POL00301,CUST2754,PROD009,AGT022,2024-06-15,2025-06-10,Expired
POL00302,CUST1592,PROD012,AGT005,2021-11-13,2022-11-08,Active
POL00303,CUST0092,PROD006,AGT112,2022-04-26,2023-04-21,Active
POL00304,CUST0014,PROD015,AGT107,2020-05-24,2021-05-19,Cancelled
POL00305,CUST2768,PROD001,AGT020,2022-08-10,2025-07-25,Active
POL00306,CUST0721,PROD018,AGT089,2024-05-08,2026-04-28,Cancelled
POL00307,CUST0573,PROD002,AGT072,2020-03-01,2022-02-19,Expired
POL00308,CUST2943,PROD017,AGT015,2023-04-30,2025-04-19,Active
POL00309,CUST2003,PROD005,AGT044,2024-01-10,2025-01-04,Active
POL00310,CUST2890,PROD013,AGT034,2020-08-25,2021-08-20,Active
POL00311,CUST0280,PROD018,AGT005,2021-01-29,2022-01-24,Expired
POL00312,CUST1568,PROD015,AGT039,2025-04-20,2025-10-17,Active
POL00313,CUST2506,PROD013,AGT010,2024-07-02,2024-12-29,Active
POL00314,CUST2307,PROD001,AGT094,2020-07-04,2023-06-19,Active
POL00315,CUST1221,PROD009,AGT087,2025-02-25,2027-02-15,Active
POL00316,CUST0817,PROD015,AGT041,2021-02-02,2022-01-28,Expired
POL00317,CUST0333,PROD019,AGT081,2020-05-14,2023-04-29,Active
POL00318,CUST0111,PROD001,AGT001,2022-04-09,2025-03-24,Active
POL00319,CUST2731,PROD005,AGT043,2022-10-07,2023-10-02,Active
POL00320,CUST1353,PROD016,AGT032,2021-06-12,2021-12-09,Cancelled
POL00321,CUST1320,PROD017,AGT119,2020-12-25,2022-12-15,Active
POL00322,CUST1610,PROD007,AGT019,2022-04-13,2024-04-02,Expired
POL00323,CUST2022,PROD018,AGT021,2023-08-04,2024-07-29,Active
POL00324,CUST0663,PROD002,AGT100,2020-06-30,2023-06-15,Active
POL00325,CUST2983,PROD007,AGT052,2022-03-23,2023-03-18,Active
POL00326,CUST0815,PROD009,AGT052,2024-03-09,2026-02-27,Expired
POL00327,CUST0655,PROD016,AGT035,2021-07-13,2023-07-03,Expired
POL00328,CUST1124,PROD014,AGT102,2024-01-22,2025-01-16,Active
POL00329,CUST1018,PROD014,AGT012,2021-10-27,2022-10-22,Active
POL00330,CUST0032,PROD018,AGT031,2024-12-14,2025-12-09,Expired
POL00331,CUST1168,PROD004,AGT104,2021-03-12,2023-03-02,Active
POL00332,CUST0604,PROD020,AGT117,2020-09-28,2023-09-13,Cancelled
POL00333,CUST0813,PROD009,AGT002,2024-01-23,2025-01-17,Cancelled
POL00334,CUST2544,PROD016,AGT106,2025-05-31,2028-05-15,Active
POL00335,CUST0800,PROD010,AGT092,2024-04-23,2027-04-08,Active
POL00336,CUST1003,PROD010,AGT049,2022-10-17,2023-10-12,Active
POL00337,CUST0843,PROD006,AGT050,2022-06-21,2023-06-16,Active
POL00338,CUST2896,PROD001,AGT092,2020-02-03,2023-01-18,Active
POL00339,CUST2775,PROD018,AGT095,2022-06-19,2023-06-14,Expired
POL00340,CUST1901,PROD003,AGT024,2021-12-09,2023-11-29,Active
POL00341,CUST1761,PROD007,AGT046,2021-04-09,2023-03-30,Active
POL00342,CUST1907,PROD004,AGT102,2022-04-18,2022-10-15,Active
POL00343,CUST0101,PROD001,AGT068,2021-05-01,2022-04-26,Cancelled
POL00344,CUST2297,PROD019,AGT014,2021-07-20,2023-07-10,Active
POL00345,CUST2836,PROD015,AGT046,2022-03-05,2024-02-23,Active
POL00346,CUST0434,PROD002,AGT014,2024-02-06,2024-08-04,Expired
POL00347,CUST0495,PROD003,AGT021,2020-03-15,2021-03-10,Active
POL00348,CUST0983,PROD019,AGT054,2022-05-25,2024-05-14,Active
POL00349,CUST0381,PROD005,AGT023,2024-01-18,2026-01-07,Active
POL00350,CUST2648,PROD011,AGT031,2024-02-11,2025-02-05,Active
POL00351,CUST0731,PROD001,AGT044,2022-01-05,2022-12-31,Expired
POL00352,CUST1970,PROD008,AGT014,2022-08-10,2024-07-30,Expired
POL00353,CUST2777,PROD008,AGT085,2024-10-14,2026-10-04,Expired
POL00354,CUST2127,PROD017,AGT051,2020-05-10,2021-05-05,Active
POL00355,CUST1347,PROD008,AGT090,2020-11-17,2021-11-12,Active
POL00356,CUST2105,PROD003,AGT041,2025-04-13,2028-03-28,Active
POL00357,CUST1759,PROD014,AGT081,2021-03-12,2023-03-02,Active
POL00358,CUST2426,PROD006,AGT074,2023-05-26,2024-05-20,Active
POL00359,CUST2066,PROD016,AGT091,2024-11-30,2026-11-20,Active
POL00360,CUST2055,PROD016,AGT107,2022-03-30,2024-03-19,Expired
POL00361,CUST2910,PROD014,AGT004,2025-05-07,2026-05-02,Expired
POL00362,CUST1336,PROD010,AGT049,2021-08-21,2022-02-17,Cancelled
