RenewalID,PolicyNo,RenewalDate,Amount,PaymentMethod
R00051,POL00077,31/05/2023,60000,Transfer
R00052,POL00077,11/06/2024,60000,Transfer
R00053,POL00079,04/01/2026,45000,Card
R00054,POL00080,18/10/2022,120000,USSD
R00055,POL00080,23/10/2023,,Transfer
R00056,POL00084,09/12/2024,180000,USSD
R00057,POL00084,03/12/2025,45000,Transfer
R00058,POL00085,16/05/2025,45000,USSD
R00059,POL00086,21/10/2024,,Transfer
R00060,POL00087,05/12/2021,180000,Card
R00061,POL00087,12/12/2022,45000,Card
R00062,POL00088,15/04/2026,180000,USSD
R00063,POL00089,05/01/2023,45000,Transfer
R00064,POL00090,14/11/2025,45000,Card
R00065,POL00092,07/02/2022,"₦180,000",Transfer
R00066,POL00096,14/11/2022,45000,Card
R00067,POL00096,08/11/2023,60000,Transfer
R00068,POL00098,28/09/2024,60000,USSD
R00069,POL00098,01/10/2025,120000,Cash
R00070,POL00100,10/03/2023,60000,Transfer
R00071,POL00103,01/05/2021,180000,Transfer
R00072,POL00104,25/08/2027,"₦120,000",Cash
R00073,POL00104,27/08/2028,60000,USSD
R00074,POL00106,14/05/2022,180000,Cash
R00075,POL00108,04/01/2022,120000,Card
R00076,POL00109,28/04/2026,90000,Cash
R00077,POL00112,27/04/2023,180000,Transfer
R00078,POL00114,12/02/2025,120000,Cash
R00079,POL00115,07/06/2021,60000,Transfer
R00080,POL00116,07/01/2023,,USSD
R00081,POL00118,28/11/2023,180000,Transfer
R00082,POL00119,31/12/2022,90000,Transfer
R00083,POL00121,24/12/2024,180000,USSD
R00084,POL00124,12/12/2023,45000,Cash
R00085,POL00125,15/11/2024,120000,Cash
R00086,POL00125,26/11/2025,120000,Transfer
R00087,POL00127,03/05/2026,120000,USSD
R00088,POL00129,08/01/2021,45000,Cash
R00089,POL00130,17/08/2023,180000,Transfer
R00090,POL00132,30/01/2023,120000,USSD
R00091,POL00133,30/06/2023,180000,Cash
R00092,POL00134,21/06/2026,180000,Transfer
R00093,POL00135,21/01/2023,45000,Cash
R00094,POL00136,18/07/2023,45000,USSD
R00095,POL00138,29/03/2022,180000,Card
R00096,POL00139,10/06/2024,180000,USSD
R00097,POL00140,06/02/2024,60000,USSD
R00098,POL00140,29/01/2025,180000,USSD
R00099,POL00143,16/06/2023,180000,USSD
R00100,POL00147,14/10/2027,45000,Card
R00101,POL00148,31/05/2024,45000,USSD
R00102,POL00150,10/05/2022,60000,Card
R00103,POL00150,17/04/2023,"₦90,000",Transfer
R00104,POL00151,17/08/2025,180000,Cash
R00105,POL00151,02/08/2026,60000,Transfer
R00106,POL00154,03/10/2021,45000,Transfer
R00107,POL00155,29/08/2026,60000,Card
R00108,POL00156,02/08/2022,90000,Cash
R00109,POL00159,05/05/2021,90000,Card
R00110,POL00164,13/12/2026,45000,USSD
R00111,POL00166,24/06/2025,180000,Transfer
R00112,POL00167,18/12/2022,90000,USSD
R00113,POL00167,20/11/2023,"₦180,000",USSD
R00114,POL00168,19/11/2020,180000,Cash
R00115,POL00169,06/12/2024,120000,Transfer
R00116,POL00169,04/01/2026,60000,USSD
R00117,POL00170,26/08/2022,45000,Card
R00118,POL00171,25/05/2024,180000,Card
R00119,POL00173,09/01/2021,180000,Cash
R00120,POL00173,20/01/2022,45000,Cash
R00121,POL00174,22/11/2026,90000,USSD
R00122,POL00175,24/09/2023,180000,Card
R00123,POL00175,05/10/2024,"₦45,000",Transfer
R00124,POL00177,02/05/2022,90000,Card
R00125,POL00178,24/07/2023,90000,Transfer
R00126,POL00179,13/05/2026,90000,Card
R00127,POL00180,24/05/2021,60000,Transfer
R00128,POL00181,11/05/2026,45000,Cash
R00129,POL00185,01/11/2022,45000,Card
R00130,POL00185,29/10/2023,60000,Transfer
R00131,POL00187,25/11/2022,45000,Transfer
R00132,POL00189,01/02/2022,90000,Cash
R00133,POL00189,06/02/2023,45000,Card
R00134,POL00190,17/12/2025,45000,USSD
R00135,POL00191,30/10/2023,60000,Card
R00136,POL00194,27/08/2022,"₦120,000",Card
R00137,POL00195,04/12/2024,"₦45,000",Cash
R00138,POL00196,06/03/2023,90000,USSD
R00139,POL00196,27/02/2024,60000,Cash
R00140,POL00197,11/10/2027,120000,Cash
R00141,POL00198,09/04/2022,180000,Cash
R00142,POL00199,29/08/2024,180000,USSD
R00143,POL00200,25/05/2023,180000,Transfer
R00144,POL00203,08/02/2024,"₦90,000",USSD
R00145,POL00203,25/02/2025,90000,Transfer
R00146,POL00205,10/11/2026,120000,USSD
R00147,POL00205,06/11/2027,60000,Transfer
R00148,POL00207,14/10/2025,60000,Cash
R00149,POL00207,25/09/2026,"₦120,000",Transfer
R00150,POL00208,08/09/2026,"₦90,000",USSD
R00151,POL00210,05/04/2026,180000,Cash
R00152,POL00211,02/03/2025,"₦180,000",Transfer
R00153,POL00212,27/11/2023,120000,Transfer
R00154,POL00214,06/09/2024,60000,Card
R00155,POL00216,02/04/2023,45000,Cash
R00156,POL00217,02/09/2026,45000,USSD
R00157,POL00218,18/01/2023,45000,Card
R00158,POL00220,05/12/2022,120000,Transfer
R00159,POL00221,07/08/2022,45000,Cash
R00160,POL00222,06/01/2024,60000,USSD
R00161,POL00222,27/12/2024,60000,Card
R00162,POL00223,31/07/2023,120000,Transfer
R00163,POL00224,13/05/2021,"₦90,000",Card
R00164,POL00225,21/08/2026,90000,Card
R00165,POL00226,02/10/2023,90000,Cash
R00166,POL00227,03/02/2022,90000,Transfer
R00167,POL00229,28/03/2023,60000,Transfer
R00168,POL00230,24/01/2022,120000,Card
R00169,POL00231,23/10/2022,90000,USSD
R00170,POL00231,24/10/2023,180000,Transfer
R00171,POL00237,03/06/2027,90000,USSD
R00172,POL00238,06/05/2027,"₦45,000",USSD
R00173,POL00239,01/12/2024,60000,Card
R00174,POL00244,17/05/2021,180000,USSD
R00175,POL00247,18/05/2023,180000,Cash
R00176,POL00247,20/05/2024,120000,Transfer
R00177,POL00250,06/05/2021,"₦120,000",Transfer
R00178,POL00252,24/06/2026,90000,USSD
R00179,POL00255,18/05/2025,120000,USSD
R00180,POL00256,29/09/2026,90000,Cash
R00181,POL00256,23/09/2027,180000,USSD
R00182,POL00257,05/04/2025,60000,Card
R00183,POL00258,12/09/2025,,Transfer
R00184,POL00259,29/07/2022,60000,Cash
R00185,POL00259,30/07/2023,90000,Transfer
R00186,POL00260,12/06/2026,180000,USSD
R00187,POL00261,25/07/2023,90000,Cash
R00188,POL00264,02/06/2024,45000,USSD
R00189,POL00265,04/11/2025,120000,Transfer
R00190,POL00266,10/03/2026,90000,Transfer
R00191,POL00267,17/07/2024,"₦60,000",Transfer
R00192,POL00267,20/07/2025,90000,Cash
R00193,POL00269,16/10/2025,"₦120,000",USSD
R00194,POL00270,07/10/2027,60000,Cash
R00195,POL00273,18/08/2022,60000,Transfer
R00196,POL00273,02/08/2023,120000,Cash
R00197,POL00275,10/10/2026,180000,Cash
R00198,POL00275,08/10/2027,60000,Transfer
R00199,POL00278,22/10/2024,180000,USSD
R00200,POL00278,22/10/2025,180000,USSD
R00201,POL00281,21/10/2024,60000,Card
R00202,POL00282,18/07/2025,"₦45,000",Card
R00203,POL00283,07/11/2020,45000,Cash
R00204,POL00284,15/11/2024,180000,Transfer
R00205,POL00285,03/04/2022,120000,Card
R00206,POL00286,16/08/2025,"₦90,000",Transfer
R00207,POL00288,04/12/2024,45000,Transfer
R00208,POL00288,08/12/2025,90000,Cash
R00209,POL00289,28/02/2021,"₦60,000",Card
R00210,POL00290,10/09/2024,45000,Card
R00211,POL00291,17/10/2021,45000,USSD
R00212,POL00292,06/03/2022,"₦60,000",USSD
R00213,POL00293,20/05/2021,180000,Cash
R00214,POL00293,30/04/2022,60000,Transfer
R00215,POL00296,29/01/2026,90000,Cash
R00216,POL00297,29/08/2022,120000,Cash
R00217,POL00297,25/08/2023,60000,Card
R00218,POL00301,14/06/2025,180000,Card
R00219,POL00304,11/06/2021,45000,Transfer
R00220,POL00307,16/03/2022,60000,Transfer
R00221,POL00307,10/03/2023,180000,USSD
R00222,POL00308,30/04/2025,60000,Transfer
R00223,POL00309,18/01/2025,60000,Card
R00224,POL00310,20/08/2021,60000,Transfer
R00225,POL00312,07/11/2025,"₦60,000",USSD
R00226,POL00313,20/01/2025,45000,Cash
R00227,POL00314,16/07/2023,180000,USSD
R00228,POL00315,03/03/2027,45000,Transfer
R00229,POL00316,31/01/2022,45000,Card
R00230,POL00317,30/04/2023,120000,USSD
R00231,POL00318,30/03/2025,60000,Cash
R00232,POL00318,03/04/2026,60000,USSD
R00233,POL00319,15/10/2023,45000,Cash
R00234,POL00320,16/12/2021,"₦45,000",Transfer
R00235,POL00325,11/04/2023,120000,Transfer
R00236,POL00325,24/03/2024,45000,Transfer
R00237,POL00326,23/03/2026,180000,Card
R00238,POL00327,14/07/2023,45000,Card
R00239,POL00328,23/01/2025,,Transfer
R00240,POL00328,11/02/2026,120000,Card
R00241,POL00329,11/11/2022,60000,Card
R00242,POL00330,18/12/2025,90000,Card
R00243,POL00331,02/03/2023,120000,Card
R00244,POL00331,11/03/2024,"₦180,000",USSD
R00245,POL00332,05/10/2023,180000,Transfer
R00246,POL00334,19/05/2028,60000,Card
R00247,POL00334,05/06/2029,120000,Transfer
R00248,POL00336,27/10/2023,45000,USSD
R00249,POL00338,05/02/2023,60000,Card
R00250,POL00339,03/07/2023,60000,Cash
R00251,POL00340,02/12/2023,180000,USSD
R00252,POL00340,10/12/2024,90000,USSD
R00253,POL00341,12/04/2023,60000,USSD
R00254,POL00343,22/05/2022,90000,USSD
R00255,POL00345,10/03/2024,"₦90,000",Transfer
R00256,POL00346,12/08/2024,120000,USSD
R00257,POL00347,20/03/2021,180000,Card
R00258,POL00349,24/01/2026,45000,USSD
R00259,POL00350,21/02/2025,60000,Card
R00260,POL00350,22/02/2026,60000,Transfer
R00261,POL00351,15/01/2023,180000,Card
R00262,POL00352,19/08/2024,"₦120,000",USSD
R00263,POL00353,15/10/2026,180000,Transfer
R00264,POL00354,17/05/2021,45000,Cash
R00265,POL00356,13/04/2028,90000,USSD
R00266,POL00357,12/03/2023,90000,Transfer
R00267,POL00358,06/06/2024,60000,Cash
R00268,POL00359,05/12/2026,90000,USSD
R00269,POL00360,31/03/2024,120000,Card
R00270,POL00362,16/03/2022,90000,Cash
R00271,POL00365,14/01/2024,45000,Cash
R00272,POL00366,15/04/2027,120000,Cash
R00273,POL00366,30/03/2028,120000,USSD
R00274,POL00368,18/05/2023,60000,USSD
R00275,POL00370,16/08/2025,60000,USSD
R00276,POL00372,02/05/2024,180000,USSD
R00277,POL00372,02/05/2025,"₦90,000",Cash
R00278,POL00376,28/11/2026,60000,Cash
R00279,POL00377,19/03/2021,60000,Cash
R00280,POL00378,25/10/2024,45000,Card
R00281,POL00378,17/10/2025,"₦60,000",USSD
R00282,POL00379,28/03/2023,120000,Transfer
R00283,POL00381,08/11/2024,45000,USSD
R00284,POL00384,09/06/2026,45000,Cash
R00285,POL00385,23/08/2025,60000,Card
R00286,POL00385,29/08/2026,90000,USSD
R00287,POL00386,16/02/2026,120000,USSD
R00288,POL00387,19/07/2021,,Cash
R00289,POL00387,20/07/2022,,Transfer
R00290,POL00389,15/08/2026,180000,Card
R00291,POL00390,14/06/2028,45000,Cash
R00292,POL00393,21/01/2023,90000,Transfer
R00293,POL00393,07/01/2024,60000,Card
R00294,POL00394,20/10/2023,120000,Card
R00295,POL00395,27/11/2024,180000,Transfer
R00296,POL00396,27/02/2027,90000,Cash
R00297,POL00397,02/05/2023,120000,Cash
R00298,POL00399,25/07/2022,120000,Cash
R00299,POL00400,29/08/2024,180000,Card
R00300,POL00401,14/09/2022,"₦90,000",Cash
R00301,POL00402,18/04/2022,90000,Card
R00302,POL00403,23/01/2026,60000,Cash
R00303,POL00408,18/02/2026,90000,USSD
R00304,POL00408,15/02/2027,90000,USSD
R00305,POL00409,21/07/2023,"₦120,000",Transfer
R00306,POL00409,26/07/2024,120000,USSD
R00307,POL00410,08/09/2024,"₦180,000",Card
R00308,POL00412,23/02/2027,"₦90,000",Transfer
R00309,POL00413,04/08/2024,45000,USSD
R00310,POL00415,02/02/2027,90000,Card
R00311,POL00416,27/11/2020,60000,Transfer
R00312,POL00420,03/05/2026,90000,Transfer
R00313,POL00421,16/10/2024,120000,Cash
R00314,POL00423,08/01/2022,90000,Transfer
R00315,POL00423,21/12/2022,"₦180,000",USSD
R00316,POL00424,09/04/2022,60000,Transfer
R00317,POL00425,25/01/2028,60000,Cash
R00318,POL00427,01/09/2020,60000,Transfer
R00319,POL00429,14/10/2021,60000,USSD
R00320,POL00430,13/02/2024,,USSD
R00321,POL00430,24/02/2025,"₦90,000",Card
R00322,POL00431,10/04/2026,"₦60,000",Card
R00323,POL00433,26/11/2024,120000,USSD
R00324,POL00437,08/07/2022,45000,Card
R00325,POL00438,28/04/2026,180000,Transfer
R00326,POL00439,02/04/2026,90000,Card
R00327,POL00440,16/12/2026,45000,Cash
R00328,POL00441,07/08/2023,90000,Cash
R00329,POL00442,12/06/2026,120000,Card
R00330,POL00443,17/03/2023,120000,Transfer
R00331,POL00444,08/12/2026,45000,Transfer
R00332,POL00445,11/01/2023,180000,Cash
R00333,POL00446,11/06/2024,180000,Transfer
R00334,POL00447,08/09/2026,180000,Cash
R00335,POL00447,07/09/2027,45000,Cash
R00336,POL00450,08/11/2025,"₦180,000",Transfer
R00337,POL00451,31/05/2025,90000,Card
R00338,POL00455,25/01/2022,60000,Cash
R00339,POL00456,03/03/2022,90000,USSD
R00340,POL00456,17/02/2023,120000,USSD
R00341,POL00458,28/07/2023,"₦180,000",USSD
R00342,POL00459,05/10/2023,90000,Cash
R00343,POL00459,19/09/2024,120000,Card
R00344,POL00461,19/12/2024,180000,Transfer
R00345,POL00461,11/01/2026,45000,Transfer
R00346,POL00466,14/02/2025,60000,USSD
R00347,POL00467,27/04/2026,180000,Transfer
R00348,POL00468,04/03/2025,45000,Transfer
R00349,POL00471,21/01/2023,180000,USSD
R00350,POL00472,02/09/2023,60000,Cash
R00351,POL00474,29/05/2024,"₦45,000",USSD
R00352,POL00474,20/05/2025,60000,Cash
R00353,POL00475,09/12/2022,180000,Cash
R00354,POL00476,29/05/2023,120000,USSD
R00355,POL00478,30/08/2022,120000,Cash
R00356,POL00478,08/08/2023,"₦90,000",Cash
R00357,POL00479,04/01/2022,120000,Card
R00358,POL00481,05/12/2025,120000,Cash
R00359,POL00482,21/06/2021,90000,USSD
R00360,POL00484,25/05/2022,,USSD
R00361,POL00484,21/05/2023,120000,Cash
R00362,POL00485,15/04/2023,60000,Card
R00363,POL00488,30/03/2026,60000,Transfer
R00364,POL00488,26/03/2027,60000,Transfer
R00365,POL00489,23/05/2024,90000,Card
R00366,POL00491,12/06/2025,60000,USSD
R00367,POL00494,11/09/2020,120000,Card
R00368,POL00494,19/09/2021,180000,Card
R00369,POL00495,04/02/2027,90000,Card
R00370,POL00496,09/03/2023,60000,USSD
R00371,POL00497,22/01/2024,120000,Transfer
R00372,POL00498,27/05/2028,60000,Transfer
R00373,POL00499,11/01/2028,60000,Cash
R00374,POL00500,24/04/2022,120000,Cash
R00375,POL00502,12/12/2025,120000,Cash
R00376,POL00503,18/06/2025,60000,USSD
R00377,POL00504,11/11/2023,180000,Card
R00378,POL00506,21/06/2025,45000,USSD
R00379,POL00506,17/06/2026,45000,Card
R00380,POL00507,17/04/2027,45000,Card
R00381,POL00508,04/09/2023,180000,Card
R00382,POL00509,17/06/2022,45000,USSD
R00383,POL00510,19/03/2027,60000,Card
R00384,POL00512,26/03/2022,"₦180,000",USSD
R00385,POL00513,10/02/2025,90000,Cash
R00386,POL00514,03/01/2023,60000,Card
R00387,POL00516,03/03/2022,120000,Cash
R00388,POL00516,20/02/2023,180000,Transfer
R00389,POL00520,04/05/2021,180000,USSD
R00390,POL00523,17/06/2022,180000,Cash
R00391,POL00524,31/01/2022,60000,USSD
R00392,POL00525,14/05/2026,120000,USSD
R00393,POL00526,27/01/2022,"₦180,000",USSD
R00394,POL00528,22/10/2021,120000,Card
R00395,POL00531,22/12/2023,120000,Transfer
R00396,POL00531,17/12/2024,180000,Transfer
R00397,POL00533,24/12/2021,180000,USSD
R00398,POL00535,16/09/2022,"₦90,000",Transfer
R00399,POL00536,03/12/2025,45000,Transfer
R00400,POL00537,14/10/2021,90000,Card
R00401,POL00538,22/07/2021,,USSD
R00402,POL00538,27/07/2022,60000,Transfer
R00403,POL00539,30/12/2021,"₦180,000",Transfer
R00404,POL00540,20/02/2021,180000,Transfer
R00405,POL00541,24/02/2027,45000,USSD
R00406,POL00544,16/04/2025,180000,Cash
R00407,POL00544,15/04/2026,"₦180,000",Transfer
R00408,POL00545,25/06/2024,60000,Cash
R00409,POL00546,04/03/2022,60000,Cash
R00410,POL00548,08/01/2022,60000,Transfer
R00411,POL00550,24/02/2024,45000,Transfer
R00412,POL00551,19/11/2023,60000,Card
R00413,POL00555,21/07/2026,45000,Cash
R00414,POL00556,01/07/2023,120000,USSD
R00415,POL00557,03/07/2025,90000,Transfer
R00416,POL00557,15/07/2026,180000,USSD
R00417,POL00559,16/04/2027,180000,Cash
R00418,POL00560,27/07/2025,90000,Card
R00419,POL00561,31/10/2023,120000,Cash
R00420,POL00562,19/08/2021,"₦45,000",USSD
R00421,POL00563,05/01/2023,"₦60,000",Transfer
R00422,POL00563,24/01/2024,,USSD
R00423,POL00564,16/03/2025,45000,USSD
R00424,POL00565,03/07/2025,60000,USSD
R00425,POL00566,19/12/2022,180000,Transfer
R00426,POL00567,20/01/2027,45000,USSD
R00427,POL00569,27/05/2025,180000,Card
R00428,POL00574,05/11/2025,"₦90,000",Transfer
R00429,POL00575,05/08/2024,,Transfer
R00430,POL00575,24/07/2025,60000,Transfer
R00431,POL00577,21/11/2025,90000,Transfer
R00432,POL00578,06/08/2025,120000,Cash
R00433,POL00579,19/05/2022,60000,Cash
R00434,POL00580,14/10/2025,120000,Card
R00435,POL00581,09/12/2021,"₦60,000",Transfer
R00436,POL00582,06/01/2024,"₦180,000",Transfer
R00437,POL00582,20/01/2025,"₦90,000",Transfer
R00438,POL00584,16/03/2027,60000,USSD
R00439,POL00585,30/05/2025,90000,USSD
R00440,POL00586,02/07/2022,90000,Transfer
R00441,POL00587,16/06/2025,90000,Transfer
R00442,POL00588,02/08/2025,90000,USSD
R00443,POL00588,18/08/2026,120000,Card
R00444,POL00589,09/07/2022,60000,Transfer
R00445,POL00590,29/08/2024,60000,USSD
R00446,POL00590,26/08/2025,120000,USSD
R00447,POL00591,04/12/2024,120000,USSD
R00448,POL00591,10/12/2025,60000,Cash
R00449,POL00592,04/08/2026,120000,Transfer
R00450,POL00593,24/02/2024,120000,Transfer
R00451,POL00594,02/11/2021,60000,Card
R00452,POL00594,16/11/2022,45000,USSD
R00453,POL00595,28/10/2022,90000,Transfer
R00454,POL00596,05/06/2022,60000,Transfer
R00455,POL00597,02/05/2022,60000,Card
R00456,POL00598,13/06/2025,90000,Card
R00457,POL00601,09/05/2022,60000,Cash
R00458,POL00602,06/06/2026,180000,USSD
R00459,POL00604,18/03/2027,,Cash
R00460,POL00605,28/04/2025,90000,Card
R00461,POL00605,20/05/2026,"₦60,000",Transfer
R00462,POL00608,11/08/2022,"₦45,000",USSD
R00463,POL00609,10/09/2023,60000,USSD
R00464,POL00610,27/10/2022,45000,Card
R00465,POL00614,30/05/2025,120000,USSD
R00466,POL00615,01/02/2027,180000,Transfer
R00467,POL00616,17/02/2025,120000,Transfer
R00468,POL00617,08/09/2022,180000,USSD
R00469,POL00621,12/02/2024,120000,Card
R00470,POL00622,08/06/2022,45000,USSD
R00471,POL00624,04/01/2023,120000,Transfer
R00472,POL00625,17/09/2021,"₦180,000",Card
R00473,POL00628,14/06/2024,60000,Transfer
R00474,POL00630,14/06/2026,90000,Cash
R00475,POL00630,14/06/2027,180000,USSD
R00476,POL00632,26/10/2025,45000,Transfer
R00477,POL00636,16/07/2024,60000,Cash
R00478,POL00637,03/08/2022,45000,Card
R00479,POL00637,12/08/2023,60000,USSD
R00480,POL00641,02/07/2022,60000,USSD
R00481,POL00642,19/01/2024,180000,Card
R00482,POL00642,25/12/2024,45000,Cash
R00483,POL00643,30/12/2024,90000,Transfer
R00484,POL00644,09/02/2024,120000,USSD
R00485,POL00644,19/02/2025,180000,Cash
R00486,POL00646,10/04/2027,45000,USSD
R00487,POL00646,20/04/2028,180000,USSD
R00488,POL00647,24/07/2024,60000,USSD
R00489,POL00648,24/03/2025,120000,Transfer
R00490,POL00650,22/08/2023,60000,USSD
R00491,POL00650,28/08/2024,90000,Card
R00492,POL00654,24/11/2026,180000,Card
R00493,POL00654,01/12/2027,60000,USSD
R00494,POL00658,13/02/2024,45000,Transfer
R00495,POL00659,20/12/2023,90000,Card
R00496,POL00659,26/12/2024,45000,Card
R00497,POL00661,05/07/2022,"₦90,000",Transfer
R00498,POL00663,06/08/2025,90000,Cash
R00499,POL00665,19/06/2023,180000,USSD
R00500,POL00665,10/07/2024,60000,Card
R00501,POL00667,07/01/2023,180000,Cash
R00502,POL00671,20/08/2022,120000,USSD
R00503,POL00671,21/08/2023,90000,Card
R00504,POL00673,06/08/2025,60000,Card
R00505,POL00677,18/08/2025,90000,Cash
R00506,POL00677,23/08/2026,90000,Cash
R00507,POL00679,29/07/2023,180000,USSD
R00508,POL00680,13/07/2025,45000,USSD
R00509,POL00683,21/08/2026,45000,Cash
R00510,POL00684,15/04/2027,180000,USSD
R00511,POL00686,28/11/2025,60000,Card
R00512,POL00686,22/12/2026,60000,USSD
R00513,POL00687,30/05/2026,120000,Transfer
R00514,POL00688,25/11/2025,60000,Cash
R00515,POL00689,01/11/2025,180000,Transfer
R00516,POL00693,06/04/2022,60000,Card
R00517,POL00693,24/03/2023,180000,Cash
R00518,POL00696,27/11/2021,90000,USSD
R00519,POL00696,21/11/2022,60000,Cash
R00520,POL00698,27/05/2024,,USSD
R00521,POL00698,25/05/2025,180000,Cash
R00522,POL00699,05/09/2023,60000,Card
R00523,POL00701,12/11/2023,45000,Cash
R00524,POL00701,10/11/2024,60000,Transfer
R00525,POL00702,02/04/2023,120000,Cash
R00526,POL00703,04/10/2024,90000,Cash
R00527,POL00704,10/03/2022,45000,USSD
R00528,POL00707,08/09/2025,"₦45,000",Cash
R00529,POL00708,18/04/2025,"₦180,000",Transfer
R00530,POL00709,24/08/2022,"₦60,000",Cash
R00531,POL00709,01/09/2023,120000,Transfer
R00532,POL00710,04/11/2025,60000,Transfer
R00533,POL00711,24/08/2027,45000,Card
R00534,POL00712,21/11/2021,60000,Cash
R00535,POL00712,29/10/2022,90000,Card
R00536,POL00713,21/06/2024,120000,Card
R00537,POL00715,30/05/2026,90000,USSD
R00538,POL00717,03/01/2022,"₦60,000",Cash
R00539,POL00719,17/10/2024,90000,USSD
R00540,POL00722,01/06/2023,120000,Card
R00541,POL00723,08/08/2026,"₦60,000",Transfer
R00542,POL00723,13/08/2027,90000,Card
R00543,POL00724,25/05/2024,"₦90,000",USSD
R00544,POL00725,10/05/2022,120000,Transfer
R00545,POL00726,03/09/2023,60000,Card
R00546,POL00727,04/03/2021,60000,Card
R00547,POL00730,22/03/2024,45000,Card
R00548,POL00732,19/08/2024,120000,Cash
R00549,POL00734,08/06/2025,180000,Cash
R00550,POL00735,11/05/2026,"₦45,000",USSD
R00551,POL00735,08/05/2027,"₦45,000",Cash
R00552,POL00738,24/12/2022,90000,USSD
R00553,POL00739,06/04/2025,"₦90,000",Cash
R00554,POL00741,29/05/2022,180000,Card
R00555,POL00743,07/04/2026,60000,USSD
R00556,POL00743,23/04/2027,180000,USSD
R00557,POL00748,11/01/2024,45000,Cash
R00558,POL00749,30/04/2021,180000,Card
R00559,POL00751,25/11/2022,180000,Transfer
R00560,POL00753,19/04/2022,60000,Cash
R00561,POL00754,21/11/2025,45000,Transfer
R00562,POL00756,14/11/2024,60000,USSD
R00563,POL00756,16/11/2025,90000,Cash
R00564,POL00757,18/10/2022,120000,Transfer
R00565,POL00758,05/11/2026,60000,Card
R00566,POL00760,02/01/2023,60000,USSD
R00567,POL00763,21/09/2023,,Card
R00568,POL00764,08/02/2024,60000,USSD
R00569,POL00765,14/05/2028,120000,USSD
R00570,POL00765,08/05/2029,180000,Cash
R00571,POL00768,24/03/2021,120000,Card
R00572,POL00769,04/04/2025,90000,Cash
R00573,POL00772,12/03/2025,45000,Transfer
R00574,POL00773,30/06/2021,120000,Card
R00575,POL00774,14/06/2024,180000,Transfer
R00576,POL00775,01/02/2023,"₦45,000",USSD
R00577,POL00776,01/07/2024,45000,Cash
R00578,POL00776,26/06/2025,60000,Cash
R00579,POL00777,19/06/2021,60000,USSD
R00580,POL00779,11/01/2024,45000,Card
R00581,POL00779,08/01/2025,120000,Cash
R00582,POL00780,09/07/2023,90000,Card
R00583,POL00781,18/02/2027,45000,Card
R00584,POL00784,28/03/2022,60000,USSD
R00585,POL00784,17/04/2023,120000,Cash
R00586,POL00785,03/05/2026,"₦180,000",Cash
R00587,POL00785,31/05/2027,90000,USSD
R00588,POL00787,25/03/2027,180000,USSD
R00589,POL00789,05/09/2021,180000,USSD
R00590,POL00790,03/04/2022,45000,Card
R00591,POL00791,17/05/2024,90000,Transfer
R00592,POL00792,13/08/2025,180000,Cash
R00593,POL00792,28/07/2026,120000,Cash
R00594,POL00793,25/07/2027,45000,Card
