IncidentID,ClaimID,IncidentDate,IncidentType,Severity,Description
INC00120,CLM00060,08/09/2023,Theft,Medium,Vehicle collision on express road
INC00121,CLM00060,17/09/2023,Water Leakage,High,Water damage to electronics
INC00122,CLM00061,12/07/2024,Burglary,Medium,Water damage to electronics
INC00123,CLM00061,04/07/2024,Flood Damage,Low,Water damage to electronics
INC00124,CLM00062,23/08/2021,Collision,Low,Admitted for 3 days
INC00125,CLM00062,16/08/2021,Burglary,Medium,Broken window and missing items
INC00126,CLM00063,06/08/2020,Medical Emergency,Low,Broken window and missing items
INC00127,CLM00064,09/10/2022,Flood Damage,Low,Smoke damage to living room
INC00128,CLM00065,13/06/2020,Road Accident,Low,Smoke damage to living room
INC00129,CLM00065,18/05/2020,Flood Damage,Medium,Broken window and missing items
INC00130,CLM00066,13/10/2023,Road Accident,Low,Admitted for 3 days
INC00131,CLM00066,14/10/2023,Burglary,Medium,Stolen belongings reported
INC00132,CLM00067,27/06/2022,Theft,High,Stolen belongings reported
INC00133,CLM00067,15/07/2022,Electrical Surge,Low,Vehicle collision on express road
INC00134,CLM00067,19/07/2022,Collision,Low,Vehicle collision on express road
INC00135,CLM00068,29/04/2022,Theft,Medium,Engine damage reported
INC00136,CLM00068,13/04/2022,Electrical Surge,Low,Stolen belongings reported
INC00137,CLM00068,26/03/2022,Collision,High,Vehicle collision on express road
INC00138,CLM00069,06/02/2025,Theft,Low,Minor scratch
INC00139,CLM00069,26/02/2025,Collision,Medium,Engine damage reported
INC00140,CLM00070,09/08/2022,Road Accident,Medium,Engine damage reported
INC00141,CLM00071,25/04/2025,Theft,Low,Broken window and missing items
INC00142,CLM00071,26/03/2025,Medical Emergency,Medium,Severe flood in property
INC00143,CLM00071,12/04/2025,Collision,Medium,Stolen belongings reported
INC00144,CLM00072,24/03/2022,Flood Damage,Medium,Stolen belongings reported
INC00145,CLM00072,22/03/2022,Water Leakage,Medium,Smoke damage to living room
INC00146,CLM00073,08/05/2022,Road Accident,High,Admitted for 3 days
INC00147,CLM00073,20/05/2022,Medical Emergency,Low,Stolen belongings reported
INC00148,CLM00074,22/02/2024,Theft,Low,Water damage to electronics
INC00149,CLM00075,18/02/2025,Flood Damage,Medium,Vehicle collision on express road
INC00150,CLM00075,31/01/2025,Burglary,Low,Stolen belongings reported
INC00151,CLM00076,18/03/2021,Fire Outbreak,Low,Stolen belongings reported
INC00152,CLM00076,10/04/2021,Fire Outbreak,Medium,Broken window and missing items
INC00153,CLM00076,25/03/2021,Collision,Low,Severe flood in property
INC00154,CLM00077,04/08/2021,Water Leakage,Low,Severe flood in property
INC00155,CLM00078,09/10/2024,Collision,Medium,Water damage to electronics
INC00156,CLM00078,19/09/2024,Flood Damage,Low,Broken window and missing items
INC00157,CLM00079,24/02/2025,Flood Damage,Low,Water damage to electronics
INC00158,CLM00079,19/02/2025,Theft,Medium,Water damage to electronics
INC00159,CLM00080,25/08/2024,Electrical Surge,High,Smoke damage to living room
INC00160,CLM00080,03/09/2024,Theft,High,Vehicle collision on express road
INC00161,CLM00081,24/10/2022,Flood Damage,Medium,Engine damage reported
INC00162,CLM00082,05/06/2021,Medical Emergency,High,Smoke damage to living room
INC00163,CLM00082,26/06/2021,Electrical Surge,Low,Vehicle collision on express road
INC00164,CLM00082,09/06/2021,Collision,Low,Water damage to electronics
INC00165,CLM00083,24/07/2021,Water Leakage,High,Water damage to electronics
INC00166,CLM00084,27/02/2021,Water Leakage,Medium,Admitted for 3 days
INC00167,CLM00084,14/03/2021,Medical Emergency,Medium,Broken window and missing items
INC00168,CLM00085,03/11/2023,Collision,Medium,Vehicle collision on express road
INC00169,CLM00086,19/05/2021,Theft,High,Minor scratch
INC00170,CLM00087,23/12/2027,Water Leakage,Low,Minor scratch
INC00171,CLM00088,17/09/2021,Electrical Surge,Low,Engine damage reported
INC00172,CLM00088,15/09/2021,Water Leakage,Medium,Severe flood in property
INC00173,CLM00089,23/06/2021,Water Leakage,Low,Minor scratch
INC00174,CLM00089,23/06/2021,Water Leakage,Medium,Severe flood in property
INC00175,CLM00090,25/07/2025,Water Leakage,Medium,Vehicle collision on express road
INC00176,CLM00090,01/07/2025,Theft,Low,Smoke damage to living room
INC00177,CLM00091,19/09/2021,Electrical Surge,Medium,Admitted for 3 days
INC00178,CLM00092,06/04/2021,Electrical Surge,Low,Stolen belongings reported
INC00179,CLM00092,01/04/2021,Theft,Low,Vehicle collision on express road
INC00180,CLM00093,16/08/2023,Fire Outbreak,Low,Engine damage reported
INC00181,CLM00094,13/08/2022,Collision,High,Severe flood in property
INC00182,CLM00094,16/08/2022,Electrical Surge,Low,Smoke damage to living room
INC00183,CLM00095,04/02/2021,Fire Outbreak,High,Minor scratch
INC00184,CLM00095,26/02/2021,Road Accident,Medium,Engine damage reported
INC00185,CLM00095,31/01/2021,Medical Emergency,Low,Smoke damage to living room
INC00186,CLM00096,14/05/2021,Medical Emergency,Low,Stolen belongings reported
INC00187,CLM00097,23/09/2022,Road Accident,Medium,Vehicle collision on express road
INC00188,CLM00097,07/09/2022,Electrical Surge,Medium,Admitted for 3 days
INC00189,CLM00098,18/07/2023,Flood Damage,Low,Stolen belongings reported
INC00190,CLM00098,20/06/2023,Burglary,Low,Water damage to electronics
INC00191,CLM00099,29/04/2025,Collision,Medium,Broken window and missing items
INC00192,CLM00100,01/03/2021,Road Accident,Medium,Stolen belongings reported
INC00193,CLM00100,10/03/2021,Burglary,Medium,Admitted for 3 days
INC00194,CLM00101,20/02/2025,Theft,High,Engine damage reported
INC00195,CLM00101,03/03/2025,Medical Emergency,Low,Water damage to electronics
INC00196,CLM00102,28/04/2024,Medical Emergency,Medium,Admitted for 3 days
INC00197,CLM00103,04/11/2021,Medical Emergency,High,Severe flood in property
INC00198,CLM00103,26/11/2021,Electrical Surge,Low,Broken window and missing items
INC00199,CLM00104,15/11/2024,Theft,Medium,Broken window and missing items
INC00200,CLM00104,09/11/2024,Electrical Surge,Medium,Vehicle collision on express road
INC00201,CLM00105,29/01/2025,Collision,High,Broken window and missing items
INC00202,CLM00105,05/02/2025,Road Accident,Low,Broken window and missing items
INC00203,CLM00106,17/09/2022,Medical Emergency,Medium,Minor scratch
INC00204,CLM00107,26/01/2022,Electrical Surge,Low,Stolen belongings reported
INC00205,CLM00107,17/01/2022,Fire Outbreak,Medium,Stolen belongings reported
INC00206,CLM00108,17/06/2022,Collision,Low,Water damage to electronics
INC00207,CLM00109,08/10/2023,Theft,Medium,Admitted for 3 days
INC00208,CLM00109,16/10/2023,Theft,Medium,Engine damage reported
INC00209,CLM00110,26/09/2021,Burglary,Low,Stolen belongings reported
INC00210,CLM00110,18/10/2021,Medical Emergency,Medium,Vehicle collision on express road
INC00211,CLM00111,03/05/2022,Water Leakage,Low,Admitted for 3 days
INC00212,CLM00111,25/04/2022,Burglary,Medium,Stolen belongings reported
INC00213,CLM00112,21/06/2021,Fire Outbreak,High,Engine damage reported
INC00214,CLM00112,19/06/2021,Water Leakage,Medium,Minor scratch
INC00215,CLM00113,18/05/2024,Theft,Low,Stolen belongings reported
INC00216,CLM00113,14/05/2024,Burglary,Low,Admitted for 3 days
INC00217,CLM00113,13/04/2024,Collision,Low,Broken window and missing items
INC00218,CLM00114,21/05/2022,Medical Emergency,High,Stolen belongings reported
INC00219,CLM00115,08/07/2024,Theft,Medium,Water damage to electronics
INC00220,CLM00115,04/08/2024,Theft,Medium,Vehicle collision on express road
INC00221,CLM00116,31/01/2024,Theft,Medium,Stolen belongings reported
INC00222,CLM00117,19/03/2023,Theft,Medium,Broken window and missing items
INC00223,CLM00118,25/03/2022,Flood Damage,Medium,Water damage to electronics
INC00224,CLM00119,04/09/2022,Flood Damage,Low,Engine damage reported
INC00225,CLM00119,12/08/2022,Water Leakage,Low,Stolen belongings reported
INC00226,CLM00119,08/08/2022,Theft,Medium,Minor scratch
INC00227,CLM00120,02/01/2022,Water Leakage,Low,Engine damage reported
INC00228,CLM00120,16/01/2022,Burglary,Medium,Minor scratch
INC00229,CLM00121,19/06/2023,Water Leakage,Medium,Broken window and missing items
INC00230,CLM00122,29/12/2022,Burglary,Low,Engine damage reported
INC00231,CLM00122,11/01/2023,Electrical Surge,Medium,Smoke damage to living room
INC00232,CLM00123,27/12/2023,Medical Emergency,High,Minor scratch
INC00233,CLM00123,16/12/2023,Flood Damage,Medium,Admitted for 3 days
INC00234,CLM00124,19/01/2025,Theft,Medium,Engine damage reported
INC00235,CLM00125,15/03/2023,Theft,Low,Vehicle collision on express road
INC00236,CLM00125,30/03/2023,Flood Damage,Low,Vehicle collision on express road
INC00237,CLM00126,03/05/2026,Electrical Surge,Low,Engine damage reported
INC00238,CLM00126,25/04/2026,Theft,High,Water damage to electronics
INC00239,CLM00127,19/07/2023,Fire Outbreak,Low,Admitted for 3 days
INC00240,CLM00127,03/07/2023,Electrical Surge,Low,Admitted for 3 days
INC00241,CLM00127,01/08/2023,Electrical Surge,Medium,Vehicle collision on express road
INC00242,CLM00128,28/06/2020,Flood Damage,Low,Broken window and missing items
INC00243,CLM00128,16/07/2020,Theft,Medium,Engine damage reported
INC00244,CLM00129,06/12/2026,Collision,Low,Vehicle collision on express road
INC00245,CLM00129,31/12/2026,Theft,Medium,Water damage to electronics
INC00246,CLM00130,06/09/2024,Theft,Medium,Smoke damage to living room
INC00247,CLM00130,07/09/2024,Theft,Low,Water damage to electronics
INC00248,CLM00131,27/10/2024,Road Accident,High,Smoke damage to living room
INC00249,CLM00132,20/11/2021,Theft,Medium,Water damage to electronics
INC00250,CLM00133,20/05/2025,Burglary,Medium,Engine damage reported
INC00251,CLM00134,13/02/2022,Road Accident,Medium,Broken window and missing items
INC00252,CLM00134,14/02/2022,Electrical Surge,Low,Severe flood in property
INC00253,CLM00135,23/01/2021,Electrical Surge,High,Engine damage reported
INC00254,CLM00136,15/02/2021,Flood Damage,Low,Water damage to electronics
INC00255,CLM00136,25/02/2021,Fire Outbreak,High,Severe flood in property
INC00256,CLM00136,02/03/2021,Water Leakage,Low,Water damage to electronics
INC00257,CLM00137,24/08/2026,Road Accident,Low,Admitted for 3 days
INC00258,CLM00137,19/08/2026,Water Leakage,Low,Water damage to electronics
INC00259,CLM00137,29/07/2026,Burglary,Medium,Stolen belongings reported
INC00260,CLM00138,04/12/2023,Road Accident,Low,Engine damage reported
INC00261,CLM00138,26/11/2023,Medical Emergency,Medium,Engine damage reported
INC00262,CLM00139,23/04/2022,Water Leakage,Low,Vehicle collision on express road
INC00263,CLM00139,19/05/2022,Medical Emergency,Low,Smoke damage to living room
INC00264,CLM00140,15/05/2024,Electrical Surge,Low,Vehicle collision on express road
INC00265,CLM00141,09/11/2024,Burglary,Medium,Smoke damage to living room
INC00266,CLM00141,24/10/2024,Burglary,Low,Severe flood in property
INC00267,CLM00141,09/11/2024,Road Accident,Medium,Severe flood in property
INC00268,CLM00142,23/11/2021,Fire Outbreak,Medium,Stolen belongings reported
INC00269,CLM00143,10/06/2022,Burglary,Low,Engine damage reported
INC00270,CLM00144,05/09/2022,Fire Outbreak,Low,Vehicle collision on express road
INC00271,CLM00144,12/09/2022,Medical Emergency,Low,Minor scratch
INC00272,CLM00144,28/09/2022,Road Accident,Low,Engine damage reported
INC00273,CLM00145,12/09/2021,Electrical Surge,Low,Severe flood in property
INC00274,CLM00146,01/07/2020,Theft,Low,Stolen belongings reported
INC00275,CLM00146,11/06/2020,Medical Emergency,High,Vehicle collision on express road
INC00276,CLM00147,16/01/2022,Medical Emergency,Low,Smoke damage to living room
INC00277,CLM00147,17/12/2021,Collision,Medium,Admitted for 3 days
INC00278,CLM00147,25/12/2021,Electrical Surge,Medium,Vehicle collision on express road
INC00279,CLM00148,18/05/2020,Electrical Surge,Medium,Water damage to electronics
INC00280,CLM00149,11/01/2021,Burglary,Medium,Minor scratch
INC00281,CLM00150,08/10/2024,Fire Outbreak,Low,Smoke damage to living room
INC00282,CLM00150,25/09/2024,Medical Emergency,Low,Severe flood in property
INC00283,CLM00150,21/09/2024,Water Leakage,High,Broken window and missing items
INC00284,CLM00151,29/11/2023,Medical Emergency,High,Water damage to electronics
INC00285,CLM00151,02/12/2023,Water Leakage,Low,Broken window and missing items
INC00286,CLM00152,11/06/2023,Collision,High,Minor scratch
INC00287,CLM00152,24/06/2023,Fire Outbreak,Low,Stolen belongings reported
INC00288,CLM00153,20/04/2025,Road Accident,Medium,Minor scratch
INC00289,CLM00153,29/04/2025,Collision,Low,Minor scratch
INC00290,CLM00153,08/04/2025,Collision,Medium,Smoke damage to living room
INC00291,CLM00154,15/05/2022,Medical Emergency,Low,Water damage to electronics
INC00292,CLM00155,26/08/2024,Collision,Medium,Vehicle collision on express road
INC00293,CLM00155,15/08/2024,Fire Outbreak,Low,Admitted for 3 days
INC00294,CLM00156,01/02/2027,Flood Damage,Low,Admitted for 3 days
INC00295,CLM00157,27/06/2022,Water Leakage,Low,Stolen belongings reported
INC00296,CLM00157,04/06/2022,Medical Emergency,Medium,Stolen belongings reported
INC00297,CLM00158,24/11/2023,Medical Emergency,Low,Severe flood in property
INC00298,CLM00158,11/11/2023,Theft,Medium,Vehicle collision on express road
INC00299,CLM00159,23/09/2023,Fire Outbreak,Low,Admitted for 3 days
INC00300,CLM00159,12/09/2023,Electrical Surge,Medium,Vehicle collision on express road
INC00301,CLM00160,14/08/2021,Electrical Surge,Medium,Admitted for 3 days
INC00302,CLM00160,09/09/2021,Collision,Low,Admitted for 3 days
INC00303,CLM00161,25/11/2022,Burglary,Medium,Smoke damage to living room
INC00304,CLM00162,28/07/2020,Road Accident,Medium,Engine damage reported
INC00305,CLM00162,16/07/2020,Water Leakage,Low,Smoke damage to living room
INC00306,CLM00163,21/02/2023,Fire Outbreak,Low,Broken window and missing items
INC00307,CLM00163,20/03/2023,Road Accident,High,Vehicle collision on express road
INC00308,CLM00163,26/02/2023,Water Leakage,Low,Smoke damage to living room
INC00309,CLM00164,07/12/2026,Water Leakage,Medium,Engine damage reported
INC00310,CLM00164,26/12/2026,Theft,Low,Smoke damage to living room
INC00311,CLM00165,24/10/2020,Flood Damage,Low,Broken window and missing items
INC00312,CLM00165,23/10/2020,Theft,Low,Stolen belongings reported
INC00313,CLM00166,16/11/2025,Water Leakage,High,Broken window and missing items
INC00314,CLM00166,05/11/2025,Water Leakage,Low,Vehicle collision on express road
INC00315,CLM00167,24/07/2021,Collision,High,Minor scratch
INC00316,CLM00168,28/03/2022,Road Accident,Medium,Vehicle collision on express road
INC00317,CLM00168,29/03/2022,Flood Damage,Medium,Stolen belongings reported
INC00318,CLM00168,27/03/2022,Electrical Surge,High,Minor scratch
INC00319,CLM00169,04/05/2021,Medical Emergency,Low,Vehicle collision on express road
INC00320,CLM00169,16/05/2021,Water Leakage,Low,Vehicle collision on express road
INC00321,CLM00170,16/06/2024,Flood Damage,Low,Vehicle collision on express road
INC00322,CLM00170,20/06/2024,Road Accident,High,Smoke damage to living room
INC00323,CLM00171,12/06/2022,Water Leakage,Low,Vehicle collision on express road
INC00324,CLM00172,01/06/2025,Burglary,Low,Smoke damage to living room
INC00325,CLM00172,19/05/2025,Collision,High,Engine damage reported
INC00326,CLM00173,01/02/2024,Theft,Medium,Water damage to electronics
INC00327,CLM00173,29/01/2024,Theft,Medium,Admitted for 3 days
INC00328,CLM00174,20/07/2024,Burglary,Low,Minor scratch
INC00329,CLM00175,21/12/2023,Medical Emergency,Low,Stolen belongings reported
INC00330,CLM00175,07/01/2024,Flood Damage,Low,Stolen belongings reported
INC00331,CLM00176,11/01/2023,Theft,Low,Minor scratch
INC00332,CLM00177,29/03/2022,Electrical Surge,Medium,Broken window and missing items
INC00333,CLM00177,10/04/2022,Collision,Low,Water damage to electronics
INC00334,CLM00178,17/08/2026,Road Accident,High,Minor scratch
INC00335,CLM00178,06/08/2026,Electrical Surge,Medium,Water damage to electronics
INC00336,CLM00179,27/07/2020,Road Accident,Medium,Engine damage reported
INC00337,CLM00179,03/08/2020,Theft,Medium,Minor scratch
INC00338,CLM00180,02/09/2023,Theft,Medium,Stolen belongings reported
INC00339,CLM00180,27/08/2023,Fire Outbreak,Medium,Broken window and missing items
INC00340,CLM00181,23/06/2021,Flood Damage,Low,Stolen belongings reported
INC00341,CLM00181,04/06/2021,Collision,Medium,Engine damage reported
INC00342,CLM00182,21/11/2022,Flood Damage,Low,Minor scratch
INC00343,CLM00182,09/12/2022,Collision,Medium,Smoke damage to living room
INC00344,CLM00183,12/01/2026,Water Leakage,Medium,Minor scratch
INC00345,CLM00183,16/01/2026,Road Accident,Medium,Stolen belongings reported
INC00346,CLM00183,15/12/2025,Medical Emergency,Medium,Broken window and missing items
INC00347,CLM00184,01/06/2026,Fire Outbreak,Medium,Smoke damage to living room
INC00348,CLM00184,26/06/2026,Medical Emergency,Medium,Smoke damage to living room
INC00349,CLM00185,19/10/2021,Water Leakage,Medium,Engine damage reported
INC00350,CLM00185,18/10/2021,Electrical Surge,Low,Admitted for 3 days
INC00351,CLM00185,28/10/2021,Flood Damage,Medium,Smoke damage to living room
INC00352,CLM00186,17/01/2024,Water Leakage,High,Minor scratch
INC00353,CLM00186,09/01/2024,Medical Emergency,Medium,Engine damage reported
INC00354,CLM00187,29/01/2022,Road Accident,Low,Broken window and missing items
INC00355,CLM00187,31/01/2022,Water Leakage,Low,Admitted for 3 days
INC00356,CLM00188,10/12/2025,Medical Emergency,Medium,Engine damage reported
INC00357,CLM00188,12/12/2025,Theft,High,Severe flood in property
INC00358,CLM00189,28/11/2025,Road Accident,Low,Smoke damage to living room
INC00359,CLM00189,22/12/2025,Fire Outbreak,High,Admitted for 3 days
INC00360,CLM00190,26/01/2021,Electrical Surge,Low,Water damage to electronics
INC00361,CLM00191,21/12/2025,Fire Outbreak,Medium,Stolen belongings reported
INC00362,CLM00191,14/12/2025,Collision,Low,Water damage to electronics
INC00363,CLM00192,22/01/2024,Fire Outbreak,Medium,Stolen belongings reported
INC00364,CLM00193,05/04/2021,Fire Outbreak,High,Stolen belongings reported
INC00365,CLM00194,18/07/2026,Burglary,Medium,Water damage to electronics
INC00366,CLM00195,26/04/2027,Road Accident,Low,Engine damage reported
INC00367,CLM00195,26/03/2027,Collision,Low,Engine damage reported
INC00368,CLM00196,13/01/2025,Burglary,Low,Stolen belongings reported
INC00369,CLM00196,01/01/2025,Electrical Surge,Low,Broken window and missing items
INC00370,CLM00197,06/10/2021,Road Accident,Low,Minor scratch
INC00371,CLM00197,29/10/2021,Electrical Surge,Medium,Stolen belongings reported
INC00372,CLM00198,04/01/2024,Burglary,Medium,Stolen belongings reported
INC00373,CLM00199,08/04/2024,Road Accident,Low,Water damage to electronics
INC00374,CLM00199,03/04/2024,Fire Outbreak,Medium,Engine damage reported
INC00375,CLM00200,08/11/2023,Burglary,Low,Admitted for 3 days
INC00376,CLM00201,26/12/2020,Fire Outbreak,Low,Admitted for 3 days
INC00377,CLM00201,14/12/2020,Water Leakage,Medium,Severe flood in property
INC00378,CLM00202,16/05/2025,Electrical Surge,Low,Water damage to electronics
